分拣中心,日期,预测货量,预测货量(取整)
SC63,2024/4/13,3501.826643,3501
SC63,2024/4/14,3592.63802,3592
SC63,2024/4/15,3669.321755,3669
SC63,2024/4/16,3733.730544,3733
SC63,2024/4/17,3787.579652,3787
SC63,2024/4/18,3832.423229,3832
SC63,2024/4/19,3869.642031,3869
SC63,2024/4/20,3900.445197,3900
SC63,2024/4/21,3925.878087,3925
SC63,2024/4/22,3946.83527,3946
SC63,2024/4/23,3964.076199,3964
SC63,2024/4/24,3978.240693,3978
SC63,2024/4/25,3989.864247,3989
SC63,2024/4/26,3999.394059,3999
SC63,2024/4/27,4007.201309,4007
SC63,2024/4/28,4013.593089,4013
SC63,2024/4/29,4018.823795,4018
SC63,2024/4/30,4023.102072,4023
SC63,2024/5/1,4026.600603,4026
SC63,2024/5/2,4029.460383,4029
SC63,2024/5/3,4031.797485,4031
SC63,2024/5/4,4033.706972,4033
SC63,2024/5/5,4035.266998,4035
SC63,2024/5/6,4036.540939,4036
SC63,2024/5/7,4037.582024,4037
SC63,2024/5/8,4038.432268,4038
SC63,2024/5/9,4039.126384,4039
SC63,2024/5/10,4039.693035,4039
SC63,2024/5/11,4040.156076,4040
SC54,2024/4/12,9233.325772,9233
SC54,2024/4/13,9685.565517,9685
SC54,2024/4/14,10043.34351,10043
SC54,2024/4/15,10325.69575,10325
SC54,2024/4/16,10548.0025,10548
SC54,2024/4/17,10722.66937,10722
SC54,2024/4/18,10859.65865,10859
SC54,2024/4/19,10966.93758,10966
SC54,2024/4/20,11050.84541,11050
SC54,2024/4/21,11116.40859,11116
SC54,2024/4/22,11167.59627,11167
SC54,2024/4/23,11207.53534,11207
SC54,2024/4/24,11238.68137,11238
SC54,2024/4/25,11262.96106,11262
SC54,2024/4/26,11281.88221,11281
SC54,2024/4/27,11296.62364,11296
SC54,2024/4/28,11308.10641,11308
SC54,2024/4/29,11317.04948,11317
SC54,2024/4/30,11324.01331,11324
SC54,2024/5/1,11329.43639,11329
SC54,2024/5/2,11333.65885,11333
SC54,2024/5/3,11336.946,11336
SC54,2024/5/4,11339.50441,11339
SC54,2024/5/5,11341.49655,11341
SC54,2024/5/6,11343.04753,11343
SC54,2024/5/7,11344.25484,11344
SC54,2024/5/8,11345.19504,11345
SC54,2024/5/9,11345.92646,11345
SC54,2024/5/10,11346.49539,11346
SC54,2024/5/11,11346.93967,11346
SC68,2024/4/12,1477.820401,1477
SC68,2024/4/13,1504.651483,1504
SC68,2024/4/14,1528.600184,1528
SC68,2024/4/15,1549.818889,1549
SC68,2024/4/16,1568.492554,1568
SC68,2024/4/17,1584.826875,1584
SC68,2024/4/18,1599.037554,1599
SC68,2024/4/19,1611.34145,1611
SC68,2024/4/20,1621.949503,1621
SC68,2024/4/21,1631.061539,1631
SC68,2024/4/22,1638.863427,1638
SC68,2024/4/23,1645.525163,1645
SC68,2024/4/24,1651.199658,1651
SC68,2024/4/25,1656.02332,1656
SC68,2024/4/26,1660.116342,1660
SC68,2024/4/27,1663.584389,1663
SC68,2024/4/28,1666.519263,1666
SC68,2024/4/29,1669.00002,1669
SC68,2024/4/30,1671.095273,1671
SC68,2024/5/1,1672.863241,1672
SC68,2024/5/2,1674.354255,1674
SC68,2024/5/3,1675.611041,1675
SC68,2024/5/4,1676.669686,1676
SC68,2024/5/5,1677.561081,1677
SC68,2024/5/6,1678.311592,1678
SC68,2024/5/7,1678.943256,1678
SC68,2024/5/8,1679.474744,1679
SC68,2024/5/9,1679.921933,1679
SC68,2024/5/10,1680.29791,1680
SC68,2024/5/11,1680.614127,1680
SC44,2024/4/12,17221.59846,17221
SC44,2024/4/13,17423.30721,17423
SC44,2024/4/14,17570.49768,17570
SC44,2024/4/15,17677.94249,17677
SC44,2024/4/16,17756.38763,17756
SC44,2024/4/17,17813.6667,17813
SC44,2024/4/18,17855.49335,17855
SC44,2024/4/19,17886.03599,17886
SC44,2024/4/20,17908.33973,17908
SC44,2024/4/21,17924.62772,17924
SC44,2024/4/22,17936.52197,17936
SC44,2024/4/23,17945.20814,17945
SC44,2024/4/24,17951.55093,17951
SC44,2024/4/25,17956.18326,17956
SC44,2024/4/26,17959.56562,17959
SC44,2024/4/27,17962.03605,17962
SC44,2024/4/28,17963.83952,17963
SC44,2024/4/29,17965.1564,17965
SC44,2024/4/30,17966.11863,17966
SC44,2024/5/1,17966.82187,17966
SC44,2024/5/2,17967.33494,17967
SC44,2024/5/3,17967.71,17967
SC44,2024/5/4,17967.98336,17967
SC44,2024/5/5,17968.18299,17968
SC44,2024/5/6,17968.32893,17968
SC44,2024/5/7,17968.43555,17968
SC44,2024/5/8,17968.51381,17968
SC44,2024/5/9,17968.57015,17968
SC44,2024/5/10,17968.61136,17968
SC44,2024/5/11,17968.64198,17968
SC15,2024/4/12,4891.325262,4891
SC15,2024/4/13,4554.620723,4554
SC15,2024/4/14,4351.042525,4351
SC15,2024/4/15,4226.77385,4226
SC15,2024/4/16,4150.699754,4150
SC15,2024/4/17,4104.101401,4104
SC15,2024/4/18,4075.561099,4075
SC15,2024/4/19,4058.084862,4058
SC15,2024/4/20,4047.385766,4047
SC15,2024/4/21,4040.836704,4040
SC15,2024/4/22,4036.82847,4036
SC15,2024/4/23,4034.375339,4034
SC15,2024/4/24,4032.87401,4032
SC15,2024/4/25,4031.955259,4031
SC15,2024/4/26,4031.393188,4031
SC15,2024/4/27,4031.049379,4031
SC15,2024/4/28,4030.838861,4030
SC15,2024/4/29,4030.710042,4030
SC15,2024/4/30,4030.631179,4030
SC15,2024/5/1,4030.582968,4030
SC15,2024/5/2,4030.553517,4030
SC15,2024/5/3,4030.53541,4030
SC15,2024/5/4,4030.524393,4030
SC15,2024/5/5,4030.51774,4030
SC15,2024/5/6,4030.513595,4030
SC15,2024/5/7,4030.510977,4030
SC15,2024/5/8,4030.50945,4030
SC15,2024/5/9,4030.508359,4030
SC15,2024/5/10,4030.507705,4030
SC15,2024/5/11,4030.507487,4030
SC66,2024/4/12,807.7524615,807
SC66,2024/4/13,832.7753765,832
SC66,2024/4/14,845.1087254,845
SC66,2024/4/15,851.1237929,851
SC66,2024/4/16,854.0419497,854
SC66,2024/4/17,855.4539096,855
SC66,2024/4/18,856.1362733,856
SC66,2024/4/19,856.465799,856
SC66,2024/4/20,856.6249235,856
SC66,2024/4/21,856.7017331,856
SC66,2024/4/22,856.738828,856
SC66,2024/4/23,856.756711,856
SC66,2024/4/24,856.7653677,856
SC66,2024/4/25,856.7695063,856
SC66,2024/4/26,856.7715186,856
SC66,2024/4/27,856.7725058,856
SC66,2024/4/28,856.7729614,856
SC66,2024/4/29,856.7732272,856
SC66,2024/4/30,856.7733411,856
SC66,2024/5/1,856.773379,856
SC66,2024/5/2,856.773379,856
SC66,2024/5/3,856.773379,856
SC66,2024/5/4,856.773379,856
SC66,2024/5/5,856.773379,856
SC66,2024/5/6,856.773379,856
SC66,2024/5/7,856.773379,856
SC66,2024/5/8,856.773379,856
SC66,2024/5/9,856.773379,856
SC66,2024/5/10,856.773379,856
SC66,2024/5/11,856.773379,856
SC9,2024/4/12,27390.016,27390
SC9,2024/4/13,27441.96633,27441
SC9,2024/4/14,27487.66885,27487
SC9,2024/4/15,27527.85618,27527
SC9,2024/4/16,27563.17683,27563
SC9,2024/4/17,27594.20813,27594
SC9,2024/4/18,27621.46126,27621
SC9,2024/4/19,27645.38845,27645
SC9,2024/4/20,27666.39089,27666
SC9,2024/4/21,27684.82087,27684
SC9,2024/4/22,27700.99114,27700
SC9,2024/4/23,27715.1749,27715
SC9,2024/4/24,27727.61445,27727
SC9,2024/4/25,27738.52261,27738
SC9,2024/4/26,27748.08629,27748
SC9,2024/4/27,27756.47159,27756
SC9,2024/4/28,27763.82302,27763
SC9,2024/4/29,27770.26784,27770
SC9,2024/4/30,27775.91531,27775
SC9,2024/5/1,27780.8654,27780
SC9,2024/5/2,27785.20292,27785
SC9,2024/5/3,27789.00481,27789
SC9,2024/5/4,27792.33722,27792
SC9,2024/5/5,27795.25622,27795
SC9,2024/5/6,27797.81359,27797
SC9,2024/5/7,27800.05532,27800
SC9,2024/5/8,27802.01882,27802
SC9,2024/5/9,27803.73858,27803
SC9,2024/5/10,27805.24554,27805
SC9,2024/5/11,27806.56556,27806
SC53,2024/4/12,32763.3938,32763
SC53,2024/4/13,32803.24973,32803
SC53,2024/4/14,32838.23889,32838
SC53,2024/4/15,32868.95501,32868
SC53,2024/4/16,32895.91496,32895
SC53,2024/4/17,32919.5782,32919
SC53,2024/4/18,32940.34601,32940
SC53,2024/4/19,32958.57116,32958
SC53,2024/4/20,32974.56544,32974
SC53,2024/4/21,32988.5996,32988
SC53,2024/4/22,33000.91379,33000
SC53,2024/4/23,33011.71836,33011
SC53,2024/4/24,33021.19902,33021
SC53,2024/4/25,33029.51688,33029
SC53,2024/4/26,33036.81514,33036
SC53,2024/4/27,33043.21763,33043
SC53,2024/4/28,33048.83472,33048
SC53,2024/4/29,33053.76264,33053
SC53,2024/4/30,33058.08566,33058
SC53,2024/5/1,33061.87837,33061
SC53,2024/5/2,33065.20566,33065
SC53,2024/5/3,33068.12422,33068
SC53,2024/5/4,33070.68477,33070
SC53,2024/5/5,33072.93131,33072
SC53,2024/5/6,33074.90188,33074
SC53,2024/5/7,33076.63004,33076
SC53,2024/5/8,33078.14564,33078
SC53,2024/5/9,33079.47626,33079
SC53,2024/5/10,33080.64428,33080
SC53,2024/5/11,33081.66685,33081
SC38,2024/4/12,4103.192271,4103
SC38,2024/4/13,4316.683044,4316
SC38,2024/4/14,4528.65583,4528
SC38,2024/4/15,4734.093705,4734
SC38,2024/4/16,4928.269358,4928
SC38,2024/4/17,5107.223132,5107
SC38,2024/4/18,5268.125857,5268
SC38,2024/4/19,5409.449245,5409
SC38,2024/4/20,5530.923889,5530
SC38,2024/4/21,5633.33645,5633
SC38,2024/4/22,5718.230389,5718
SC38,2024/4/23,5787.592319,5787
SC38,2024/4/24,5843.581647,5843
SC38,2024/4/25,5888.327437,5888
SC38,2024/4/26,5923.798736,5923
SC38,2024/4/27,5951.735271,5951
SC38,2024/4/28,5973.623169,5973
SC38,2024/4/29,5990.702949,5990
SC38,2024/4/30,6003.987399,6003
SC38,2024/5/1,6014.293843,6014
SC38,2024/5/2,6022.273839,6022
SC38,2024/5/3,6028.443525,6028
SC38,2024/5/4,6033.208207,6033
SC38,2024/5/5,6036.884403,6036
SC38,2024/5/6,6039.718044,6039
SC38,2024/5/7,6041.902043,6041
SC38,2024/5/8,6043.584278,6043
SC38,2024/5/9,6044.879411,6044
SC38,2024/5/10,6045.876231,6045
SC38,2024/5/11,6046.643729,6046
SC20,2024/4/12,124.5441137,124
SC20,2024/4/13,166.8895993,166
SC20,2024/4/14,191.8956093,191
SC20,2024/4/15,206.6051561,206
SC20,2024/4/16,215.2307118,215
SC20,2024/4/17,220.2778157,220
SC20,2024/4/18,223.2270544,223
SC20,2024/4/19,224.9490023,224
SC20,2024/4/20,225.9538702,225
SC20,2024/4/21,226.5400961,226
SC20,2024/4/22,226.8820462,226
SC20,2024/4/23,227.0814699,227
SC20,2024/4/24,227.1978062,227
SC20,2024/4/25,227.265616,227
SC20,2024/4/26,227.3052052,227
SC20,2024/4/27,227.3282459,227
SC20,2024/4/28,227.3417139,227
SC20,2024/4/29,227.3495599,227
SC20,2024/4/30,227.354146,227
SC20,2024/5/1,227.356812,227
SC20,2024/5/2,227.3583729,227
SC20,2024/5/3,227.3592845,227
SC20,2024/5/4,227.3598095,227
SC20,2024/5/5,227.3601134,227
SC20,2024/5/6,227.3602929,227
SC20,2024/5/7,227.3604034,227
SC20,2024/5/8,227.3604311,227
SC20,2024/5/9,227.3604725,227
SC20,2024/5/10,227.3604725,227
SC20,2024/5/11,227.3604725,227
SC39,2024/4/12,2460.56621,2460
SC39,2024/4/13,2507.091507,2507
SC39,2024/4/14,2549.614439,2549
SC39,2024/4/15,2588.236567,2588
SC39,2024/4/16,2623.111692,2623
SC39,2024/4/17,2654.434052,2654
SC39,2024/4/18,2682.427076,2682
SC39,2024/4/19,2707.332521,2707
SC39,2024/4/20,2729.400932,2729
SC39,2024/4/21,2748.884457,2748
SC39,2024/4/22,2766.029955,2766
SC39,2024/4/23,2781.074176,2781
SC39,2024/4/24,2794.24074,2794
SC39,2024/4/25,2805.73777,2805
SC39,2024/4/26,2815.757142,2815
SC39,2024/4/27,2824.473444,2824
SC39,2024/4/28,2832.04435,2832
SC39,2024/4/29,2838.61176,2838
SC39,2024/4/30,2844.30208,2844
SC39,2024/5/1,2849.227449,2849
SC39,2024/5/2,2853.486969,2853
SC39,2024/5/3,2857.16784,2857
SC39,2024/5/4,2860.346585,2860
SC39,2024/5/5,2863.090092,2863
SC39,2024/5/6,2865.456744,2865
SC39,2024/5/7,2867.497463,2867
SC39,2024/5/8,2869.256557,2869
SC39,2024/5/9,2870.772382,2870
SC39,2024/5/10,2872.078287,2872
SC39,2024/5/11,2873.203087,2873
SC47,2024/4/12,45982.25587,45982
SC47,2024/4/13,47195.91678,47195
SC47,2024/4/14,47998.28396,47998
SC47,2024/4/15,48528.41341,48528
SC47,2024/4/16,48878.46979,48878
SC47,2024/4/17,49109.51471,49109
SC47,2024/4/18,49261.95875,49261
SC47,2024/4/19,49362.5137,49362
SC47,2024/4/20,49428.83238,49428
SC47,2024/4/21,49472.56907,49472
SC47,2024/4/22,49501.40682,49501
SC47,2024/4/23,49520.42268,49520
SC47,2024/4/24,49532.96205,49532
SC47,2024/4/25,49541.22804,49541
SC47,2024/4/26,49546.68012,49546
SC47,2024/4/27,49550.27413,49550
SC47,2024/4/28,49552.64227,49552
SC47,2024/4/29,49554.20674,49554
SC47,2024/4/30,49555.23544,49555
SC47,2024/5/1,49555.91266,49555
SC47,2024/5/2,49556.36272,49556
SC47,2024/5/3,49556.65632,49556
SC47,2024/5/4,49556.8492,49556
SC47,2024/5/5,49556.97993,49556
SC47,2024/5/6,49557.06352,49557
SC47,2024/5/7,49557.11924,49557
SC47,2024/5/8,49557.15567,49557
SC47,2024/5/9,49557.17924,49557
SC47,2024/5/10,49557.19639,49557
SC47,2024/5/11,49557.20496,49557
SC8,2024/4/12,39898.39229,39898
SC8,2024/4/13,40886.47219,40886
SC8,2024/4/14,41747.27696,41747
SC8,2024/4/15,42494.00989,42494
SC8,2024/4/16,43139.11006,43139
SC8,2024/4/17,43694.22883,43694
SC8,2024/4/18,44170.19731,44170
SC8,2024/4/19,44576.96363,44576
SC8,2024/4/20,44923.57278,44923
SC8,2024/4/21,45218.15089,45218
SC8,2024/4/22,45467.9456,45467
SC8,2024/4/23,45679.34172,45679
SC8,2024/4/24,45857.93523,45857
SC8,2024/4/25,46008.5915,46008
SC8,2024/4/26,46135.52599,46135
SC8,2024/4/27,46242.35804,46242
SC8,2024/4/28,46332.18705,46332
SC8,2024/4/29,46407.66422,46407
SC8,2024/4/30,46471.03958,46471
SC8,2024/5/1,46524.21805,46524
SC8,2024/5/2,46568.82441,46568
SC8,2024/5/3,46606.23019,46606
SC8,2024/5/4,46637.58059,46637
SC8,2024/5/5,46663.85047,46663
SC8,2024/5/6,46685.85783,46685
SC8,2024/5/7,46704.29067,46704
SC8,2024/5/8,46719.73168,46719
SC8,2024/5/9,46732.66044,46732
SC8,2024/5/10,46743.48035,46743
SC8,2024/5/11,46752.53877,46752
SC43,2024/4/12,3665.201425,3665
SC43,2024/4/13,4002.492129,4002
SC43,2024/4/14,4166.912484,4166
SC43,2024/4/15,4246.933478,4246
SC43,2024/4/16,4285.844122,4285
SC43,2024/4/17,4304.756083,4304
SC43,2024/4/18,4313.946016,4313
SC43,2024/4/19,4318.410985,4318
SC43,2024/4/20,4320.580334,4320
SC43,2024/4/21,4321.634279,4321
SC43,2024/4/22,4322.146072,4322
SC43,2024/4/23,4322.394892,4322
SC43,2024/4/24,4322.515949,4322
SC43,2024/4/25,4322.574615,4322
SC43,2024/4/26,4322.60311,4322
SC43,2024/4/27,4322.616892,4322
SC43,2024/4/28,4322.623597,4322
SC43,2024/4/29,4322.626949,4322
SC43,2024/4/30,4322.628439,4322
SC43,2024/5/1,4322.62937,4322
SC43,2024/5/2,4322.629929,4322
SC43,2024/5/3,4322.630115,4322
SC43,2024/5/4,4322.630115,4322
SC43,2024/5/5,4322.630115,4322
SC43,2024/5/6,4322.630115,4322
SC43,2024/5/7,4322.630115,4322
SC43,2024/5/8,4322.630115,4322
SC43,2024/5/9,4322.630115,4322
SC43,2024/5/10,4322.630115,4322
SC43,2024/5/11,4322.630115,4322
SC52,2024/4/12,3780.389533,3780
SC52,2024/4/13,3932.381921,3932
SC52,2024/4/14,4036.745049,4036
SC52,2024/4/15,4108.405108,4108
SC52,2024/4/16,4157.608336,4157
SC52,2024/4/17,4191.390561,4191
SC52,2024/4/18,4214.584197,4214
SC52,2024/4/19,4230.507452,4230
SC52,2024/4/20,4241.439522,4241
SC52,2024/4/21,4248.944679,4248
SC52,2024/4/22,4254.096891,4254
SC52,2024/4/23,4257.633863,4257
SC52,2024/4/24,4260.061909,4260
SC52,2024/4/25,4261.728569,4261
SC52,2024/4/26,4262.873129,4262
SC52,2024/4/27,4263.658872,4263
SC52,2024/4/28,4264.198112,4264
SC52,2024/4/29,4264.568657,4264
SC52,2024/4/30,4264.822828,4264
SC52,2024/5/1,4264.997162,4264
SC52,2024/5/2,4265.116692,4265
SC52,2024/5/3,4265.19901,4265
SC52,2024/5/4,4265.255393,4265
SC52,2024/5/5,4265.293958,4265
SC52,2024/5/6,4265.320571,4265
SC52,2024/5/7,4265.338838,4265
SC52,2024/5/8,4265.351468,4265
SC52,2024/5/9,4265.360038,4265
SC52,2024/5/10,4265.366127,4265
SC52,2024/5/11,4265.370412,4265
SC31,2024/4/12,11478.50858,11478
SC31,2024/4/13,11363.86346,11363
SC31,2024/4/14,11270.23973,11270
SC31,2024/4/15,11193.74141,11193
SC31,2024/4/16,11131.21354,11131
SC31,2024/4/17,11080.09078,11080
SC31,2024/4/18,11038.28432,11038
SC31,2024/4/19,11004.09188,11004
SC31,2024/4/20,10976.12397,10976
SC31,2024/4/21,10953.24528,10953
SC31,2024/4/22,10934.52841,10934
SC31,2024/4/23,10919.21588,10919
SC31,2024/4/24,10906.68851,10906
SC31,2024/4/25,10896.43886,10896
SC31,2024/4/26,10888.0527,10888
SC31,2024/4/27,10881.19158,10881
SC31,2024/4/28,10875.57753,10875
SC31,2024/4/29,10870.98407,10870
SC31,2024/4/30,10867.22595,10867
SC31,2024/5/1,10864.15089,10864
SC31,2024/5/2,10861.63457,10861
SC31,2024/5/3,10859.57552,10859
SC31,2024/5/4,10857.89064,10857
SC31,2024/5/5,10856.51215,10856
SC31,2024/5/6,10855.38416,10855
SC31,2024/5/7,10854.46135,10854
SC31,2024/5/8,10853.70638,10853
SC31,2024/5/9,10853.08857,10853
SC31,2024/5/10,10852.58274,10852
SC31,2024/5/11,10852.16919,10852
SC21,2024/4/12,2158.323818,2158
SC21,2024/4/13,2208.251211,2208
SC21,2024/4/14,2245.442973,2245
SC21,2024/4/15,2273.235939,2273
SC21,2024/4/16,2294.05315,2294
SC21,2024/4/17,2309.67182,2309
SC21,2024/4/18,2321.404641,2321
SC21,2024/4/19,2330.226594,2330
SC21,2024/4/20,2336.864307,2336
SC21,2024/4/21,2341.861346,2341
SC21,2024/4/22,2345.624318,2345
SC21,2024/4/23,2348.459077,2348
SC21,2024/4/24,2350.594954,2350
SC21,2024/4/25,2352.204615,2352
SC21,2024/4/26,2353.417644,2353
SC21,2024/4/27,2354.332025,2354
SC21,2024/4/28,2355.021269,2355
SC21,2024/4/29,2355.540612,2355
SC21,2024/4/30,2355.932382,2355
SC21,2024/5/1,2356.227677,2356
SC21,2024/5/2,2356.450468,2356
SC21,2024/5/3,2356.618441,2356
SC21,2024/5/4,2356.744924,2356
SC21,2024/5/5,2356.84031,2356
SC21,2024/5/6,2356.912394,2356
SC21,2024/5/7,2356.966458,2356
SC21,2024/5/8,2357.007445,2357
SC21,2024/5/9,2357.038123,2357
SC21,2024/5/10,2357.061425,2357
SC21,2024/5/11,2357.079027,2357
SC49,2024/4/12,6582.031529,6582
SC49,2024/4/13,6685.71432,6685
SC49,2024/4/14,6761.135803,6761
SC49,2024/4/15,6816.1278,6816
SC49,2024/4/16,6856.28857,6856
SC49,2024/4/17,6885.650985,6885
SC49,2024/4/18,6907.135479,6907
SC49,2024/4/19,6922.86445,6922
SC49,2024/4/20,6934.384848,6934
SC49,2024/4/21,6942.825044,6942
SC49,2024/4/22,6949.009683,6949
SC49,2024/4/23,6953.542266,6953
SC49,2024/4/24,6956.864685,6956
SC49,2024/4/25,6959.300028,6959
SC49,2024/4/26,6961.085376,6961
SC49,2024/4/27,6962.394323,6962
SC49,2024/4/28,6963.353709,6963
SC49,2024/4/29,6964.057047,6964
SC49,2024/4/30,6964.572829,6964
SC49,2024/5/1,6964.951104,6964
SC49,2024/5/2,6965.228356,6965
SC49,2024/5/3,6965.431719,6965
SC49,2024/5/4,6965.580553,6965
SC49,2024/5/5,6965.689741,6965
SC49,2024/5/6,6965.770085,6965
SC49,2024/5/7,6965.82896,6965
SC49,2024/5/8,6965.87203,6965
SC49,2024/5/9,6965.903772,6965
SC49,2024/5/10,6965.926822,6965
SC49,2024/5/11,6965.943681,6965
SC37,2024/4/12,854.7572546,854
SC37,2024/4/13,826.1667578,826
SC37,2024/4/14,820.1089169,820
SC37,2024/4/15,818.8248255,818
SC37,2024/4/16,818.5525792,818
SC37,2024/4/17,818.4948699,818
SC37,2024/4/18,818.4826528,818
SC37,2024/4/19,818.4800743,818
SC37,2024/4/20,818.4795218,818
SC37,2024/4/21,818.479399,818
SC37,2024/4/22,818.4793683,818
SC37,2024/4/23,818.4793683,818
SC37,2024/4/24,818.4793683,818
SC37,2024/4/25,818.4793683,818
SC37,2024/4/26,818.4793683,818
SC37,2024/4/27,818.4793683,818
SC37,2024/4/28,818.4793683,818
SC37,2024/4/29,818.4793683,818
SC37,2024/4/30,818.4793683,818
SC37,2024/5/1,818.4793683,818
SC37,2024/5/2,818.4793683,818
SC37,2024/5/3,818.4793683,818
SC37,2024/5/4,818.4793683,818
SC37,2024/5/5,818.4793683,818
SC37,2024/5/6,818.4793683,818
SC37,2024/5/7,818.4793683,818
SC37,2024/5/8,818.4793683,818
SC37,2024/5/9,818.4793683,818
SC37,2024/5/10,818.4793683,818
SC37,2024/5/11,818.4793683,818
SC29,2024/4/12,6976.383691,6976
SC29,2024/4/13,7224.615233,7224
SC29,2024/4/14,7466.741664,7466
SC29,2024/4/15,7699.873999,7699
SC29,2024/4/16,7921.359508,7921
SC29,2024/4/17,8128.938945,8128
SC29,2024/4/18,8320.871153,8320
SC29,2024/4/19,8496.009653,8496
SC29,2024/4/20,8653.816403,8653
SC29,2024/4/21,8794.324303,8794
SC29,2024/4/22,8918.0625,8918
SC29,2024/4/23,9025.94661,9025
SC29,2024/4/24,9119.166803,9119
SC29,2024/4/25,9199.077762,9199
SC29,2024/4/26,9267.103753,9267
SC29,2024/4/27,9324.664456,9324
SC29,2024/4/28,9373.117251,9373
SC29,2024/4/29,9413.723507,9413
SC29,2024/4/30,9447.626197,9447
SC29,2024/5/1,9475.843423,9475
SC29,2024/5/2,9499.265452,9499
SC29,2024/5/3,9518.665233,9518
SC29,2024/5/4,9534.703522,9534
SC29,2024/5/5,9547.942904,9547
SC29,2024/5/6,9558.856966,9558
SC29,2024/5/7,9567.845938,9567
SC29,2024/5/8,9575.242624,9575
SC29,2024/5/9,9581.324811,9581
SC29,2024/5/10,9586.32228,9586
SC29,2024/5/11,9590.427054,9590
SC5,2024/4/12,21474.41564,21474
SC5,2024/4/13,21447.89924,21447
SC5,2024/4/14,21424.90607,21424
SC5,2024/4/15,21404.96588,21404
SC5,2024/4/16,21387.66845,21387
SC5,2024/4/17,21372.66433,21372
SC5,2024/4/18,21359.64638,21359
SC5,2024/4/19,21348.34978,21348
SC5,2024/4/20,21338.54725,21338
SC5,2024/4/21,21330.04016,21330
SC5,2024/4/22,21322.6572,21322
SC5,2024/4/23,21316.2489,21316
SC5,2024/4/24,21310.68558,21310
SC5,2024/4/25,21305.85802,21305
SC5,2024/4/26,21301.66659,21301
SC5,2024/4/27,21298.02801,21298
SC5,2024/4/28,21294.87061,21294
SC5,2024/4/29,21292.12819,21292
SC5,2024/4/30,21289.7482,21289
SC5,2024/5/1,21287.68081,21287
SC5,2024/5/2,21285.88643,21285
SC5,2024/5/3,21284.32889,21284
SC5,2024/5/4,21282.97679,21282
SC5,2024/5/5,21281.80215,21281
SC5,2024/5/6,21280.78313,21280
SC5,2024/5/7,21279.89789,21279
SC5,2024/5/8,21279.12936,21279
SC5,2024/5/9,21278.4632,21278
SC5,2024/5/10,21277.88442,21277
SC5,2024/5/11,21277.38139,21277
SC23,2024/4/12,3807.530865,3807
SC23,2024/4/13,3803.576571,3803
SC23,2024/4/14,3800.075072,3800
SC23,2024/4/15,3796.972825,3796
SC23,2024/4/16,3794.223171,3794
SC23,2024/4/17,3791.784785,3791
SC23,2024/4/18,3789.621899,3789
SC23,2024/4/19,3787.702518,3787
SC23,2024/4/20,3785.999092,3785
SC23,2024/4/21,3784.486294,3784
SC23,2024/4/22,3783.142793,3783
SC23,2024/4/23,3781.949707,3781
SC23,2024/4/24,3780.889037,3780
SC23,2024/4/25,3779.946787,3779
SC23,2024/4/26,3779.109627,3779
