分拣中心,日期,小时,预测货量
SC68,2023-12-01,18,47.882611647248275
SC68,2023-12-01,19,47.882611647248275
SC68,2023-12-01,20,47.882611647248275
SC68,2023-12-01,21,47.882611647248275
SC68,2023-12-01,22,47.882611647248275
SC68,2023-12-01,23,47.882611647248275
SC68,2023-12-01,24,47.882611647248275
SC51,2023-12-01,1,1051.8654540777206
SC51,2023-12-01,2,1051.8654540777206
SC51,2023-12-01,3,1051.8654540777206
SC51,2023-12-01,4,1051.8654540777206
SC51,2023-12-01,5,1051.8654540777206
SC51,2023-12-01,6,1051.8654540777206
SC51,2023-12-01,7,1051.8654540777206
SC51,2023-12-01,8,1051.8654540777206
SC51,2023-12-01,9,1051.8654540777206
SC51,2023-12-01,10,1051.8654540777206
SC51,2023-12-01,11,1051.8654540777206
SC51,2023-12-01,12,1051.8654540777206
SC51,2023-12-01,13,1051.8654540777206
SC51,2023-12-01,14,1051.8654540777206
SC51,2023-12-01,15,1051.8654540777206
SC51,2023-12-01,16,1051.8654540777206
SC51,2023-12-01,17,1051.8654540777206
SC51,2023-12-01,18,1051.8654540777206
SC51,2023-12-01,19,1051.8654540777206
SC51,2023-12-01,20,1051.8654540777206
SC51,2023-12-01,21,1051.8654540777206
SC51,2023-12-01,22,1051.8654540777206
SC51,2023-12-01,23,1051.8654540777206
SC51,2023-12-01,24,1051.8654540777206
SC60,2023-12-01,1,3921.6804594397545
SC60,2023-12-01,2,3921.6804594397545
SC60,2023-12-01,3,3921.6804594397545
SC60,2023-12-01,4,3921.6804594397545
SC60,2023-12-01,5,3921.6804594397545
SC60,2023-12-01,6,3921.6804594397545
SC60,2023-12-01,7,3921.6804594397545
SC60,2023-12-01,8,3921.6804594397545
SC60,2023-12-01,9,3921.6804594397545
SC60,2023-12-01,10,3921.6804594397545
SC60,2023-12-01,11,3921.6804594397545
SC60,2023-12-01,12,3921.6804594397545
SC60,2023-12-01,13,3921.6804594397545
SC60,2023-12-01,14,3921.6804594397545
SC60,2023-12-01,15,3921.6804594397545
SC60,2023-12-01,16,3921.6804594397545
SC60,2023-12-01,17,3921.6804594397545
SC60,2023-12-01,18,3921.6804594397545
SC60,2023-12-01,19,3921.6804594397545
SC60,2023-12-01,20,3921.6804594397545
SC60,2023-12-01,21,3921.6804594397545
SC60,2023-12-01,22,3921.6804594397545
SC60,2023-12-01,23,3921.6804594397545
SC60,2023-12-01,24,3921.6804594397545
SC1,2023-12-01,1,3156.7711841464043
SC1,2023-12-01,2,3156.7711841464043
SC1,2023-12-01,3,3156.7711841464043
SC1,2023-12-01,4,3156.7711841464043
SC1,2023-12-01,5,3156.7711841464043
SC1,2023-12-01,6,3156.7711841464043
SC1,2023-12-01,7,3156.7711841464043
SC1,2023-12-01,8,3156.7711841464043
SC1,2023-12-01,9,3156.7711841464043
SC1,2023-12-01,10,3156.7711841464043
SC1,2023-12-01,11,3156.7711841464043
SC1,2023-12-01,12,3156.7711841464043
SC1,2023-12-01,13,3156.7711841464043
SC1,2023-12-01,14,3156.7711841464043
SC1,2023-12-01,15,3156.7711841464043
SC1,2023-12-01,16,3156.7711841464043
SC1,2023-12-01,17,3156.7711841464043
SC1,2023-12-01,18,3156.7711841464043
SC1,2023-12-01,19,3156.7711841464043
SC1,2023-12-01,20,3156.7711841464043
SC1,2023-12-01,21,3156.7711841464043
SC1,2023-12-01,22,3156.7711841464043
SC1,2023-12-01,23,3156.7711841464043
SC1,2023-12-01,24,3156.7711841464043
SC22,2023-12-01,1,639.5647589117289
SC22,2023-12-01,2,639.5647589117289
SC22,2023-12-01,3,639.5647589117289
SC22,2023-12-01,4,639.5647589117289
SC22,2023-12-01,5,639.5647589117289
SC22,2023-12-01,6,639.5647589117289
SC22,2023-12-01,7,639.5647589117289
SC22,2023-12-01,8,639.5647589117289
SC22,2023-12-01,9,639.5647589117289
SC22,2023-12-01,10,639.5647589117289
SC22,2023-12-01,11,639.5647589117289
SC22,2023-12-01,12,639.5647589117289
SC22,2023-12-01,13,639.5647589117289
SC22,2023-12-01,14,639.5647589117289
SC22,2023-12-01,15,639.5647589117289
SC22,2023-12-01,16,639.5647589117289
SC22,2023-12-01,17,639.5647589117289
SC22,2023-12-01,18,639.5647589117289
SC22,2023-12-01,19,639.5647589117289
SC22,2023-12-01,20,639.5647589117289
SC22,2023-12-01,21,639.5647589117289
SC22,2023-12-01,22,639.5647589117289
SC22,2023-12-01,23,639.5647589117289
SC22,2023-12-01,24,639.5647589117289
SC57,2023-12-01,1,569.0509662628174
SC57,2023-12-01,2,569.0509662628174
SC57,2023-12-01,3,569.0509662628174
SC57,2023-12-01,4,569.0509662628174
SC57,2023-12-01,5,569.0509662628174
SC57,2023-12-01,6,569.0509662628174
SC57,2023-12-01,7,569.0509662628174
SC57,2023-12-01,8,569.0509662628174
SC57,2023-12-01,9,569.0509662628174
SC57,2023-12-01,10,569.0509662628174
SC57,2023-12-01,11,569.0509662628174
SC57,2023-12-01,12,569.0509662628174
SC57,2023-12-01,13,569.0509662628174
SC57,2023-12-01,14,569.0509662628174
SC57,2023-12-01,15,569.0509662628174
SC57,2023-12-01,16,569.0509662628174
SC57,2023-12-01,17,569.0509662628174
SC57,2023-12-01,18,569.0509662628174
SC57,2023-12-01,19,569.0509662628174
SC57,2023-12-01,20,569.0509662628174
SC57,2023-12-01,21,569.0509662628174
SC57,2023-12-01,22,569.0509662628174
SC57,2023-12-01,23,569.0509662628174
SC57,2023-12-01,24,569.0509662628174
SC17,2023-12-01,1,1206.5657749772072
SC17,2023-12-01,2,1206.5657749772072
SC17,2023-12-01,3,1206.5657749772072
SC17,2023-12-01,4,1206.5657749772072
SC17,2023-12-01,5,1206.5657749772072
SC17,2023-12-01,6,1206.5657749772072
SC17,2023-12-01,7,1206.5657749772072
SC17,2023-12-01,8,1206.5657749772072
SC17,2023-12-01,9,1206.5657749772072
SC17,2023-12-01,10,1206.5657749772072
SC17,2023-12-01,11,1206.5657749772072
SC17,2023-12-01,12,1206.5657749772072
SC17,2023-12-01,13,1206.5657749772072
SC17,2023-12-01,14,1206.5657749772072
SC17,2023-12-01,15,1206.5657749772072
SC17,2023-12-01,16,1206.5657749772072
SC17,2023-12-01,17,1206.5657749772072
SC17,2023-12-01,18,1206.5657749772072
SC17,2023-12-01,19,1206.5657749772072
SC17,2023-12-01,20,1206.5657749772072
SC17,2023-12-01,21,1206.5657749772072
SC17,2023-12-01,22,1206.5657749772072
SC17,2023-12-01,23,1206.5657749772072
SC17,2023-12-01,24,1206.5657749772072
SC35,2023-12-01,1,706.8637025356293
SC35,2023-12-01,2,706.8637025356293
SC35,2023-12-01,3,706.8637025356293
SC35,2023-12-01,4,706.8637025356293
SC35,2023-12-01,5,706.8637025356293
SC35,2023-12-01,6,706.8637025356293
SC35,2023-12-01,7,706.8637025356293
SC35,2023-12-01,8,706.8637025356293
SC35,2023-12-01,9,706.8637025356293
SC35,2023-12-01,10,706.8637025356293
SC35,2023-12-01,11,706.8637025356293
SC35,2023-12-01,12,706.8637025356293
SC35,2023-12-01,13,706.8637025356293
SC35,2023-12-01,14,706.8637025356293
SC35,2023-12-01,15,706.8637025356293
SC35,2023-12-01,16,706.8637025356293
SC35,2023-12-01,17,706.8637025356293
SC35,2023-12-01,18,706.8637025356293
SC35,2023-12-01,19,706.8637025356293
SC35,2023-12-01,20,706.8637025356293
SC35,2023-12-01,21,706.8637025356293
SC35,2023-12-01,22,706.8637025356293
SC35,2023-12-01,23,706.8637025356293
SC35,2023-12-01,24,706.8637025356293
SC7,2023-12-01,1,1767.805209159851
SC7,2023-12-01,2,1767.805209159851
SC7,2023-12-01,3,1767.805209159851
SC7,2023-12-01,4,1767.805209159851
SC7,2023-12-01,5,1767.805209159851
SC7,2023-12-01,6,1767.805209159851
SC7,2023-12-01,7,1767.805209159851
SC7,2023-12-01,8,1767.805209159851
SC7,2023-12-01,9,1767.805209159851
SC7,2023-12-01,10,1767.805209159851
SC7,2023-12-01,11,1767.805209159851
SC7,2023-12-01,12,1767.805209159851
SC7,2023-12-01,13,1767.805209159851
SC7,2023-12-01,14,1767.805209159851
SC7,2023-12-01,15,1767.805209159851
SC7,2023-12-01,16,1767.805209159851
SC7,2023-12-01,17,1767.805209159851
SC7,2023-12-01,18,1767.805209159851
SC7,2023-12-01,19,1767.805209159851
SC7,2023-12-01,20,1767.805209159851
SC7,2023-12-01,21,1767.805209159851
SC7,2023-12-01,22,1767.805209159851
SC7,2023-12-01,23,1767.805209159851
SC7,2023-12-01,24,1767.805209159851
SC40,2023-12-01,1,221.36303782463074
SC40,2023-12-01,2,221.36303782463074
SC40,2023-12-01,3,221.36303782463074
SC40,2023-12-01,4,221.36303782463074
SC40,2023-12-01,5,221.36303782463074
SC40,2023-12-01,6,221.36303782463074
SC40,2023-12-01,7,221.36303782463074
SC40,2023-12-01,8,221.36303782463074
SC40,2023-12-01,9,221.36303782463074
SC40,2023-12-01,10,221.36303782463074
SC40,2023-12-01,11,221.36303782463074
SC40,2023-12-01,12,221.36303782463074
SC40,2023-12-01,13,221.36303782463074
SC40,2023-12-01,14,221.36303782463074
SC40,2023-12-01,15,221.36303782463074
SC40,2023-12-01,16,221.36303782463074
SC40,2023-12-01,17,221.36303782463074
SC40,2023-12-01,18,221.36303782463074
SC40,2023-12-01,19,221.36303782463074
SC40,2023-12-01,20,221.36303782463074
SC40,2023-12-01,21,221.36303782463074
SC40,2023-12-01,22,221.36303782463074
SC40,2023-12-01,23,221.36303782463074
SC40,2023-12-01,24,221.36303782463074
SC47,2023-12-01,1,3081.075837135315
SC47,2023-12-01,2,3081.075837135315
SC47,2023-12-01,3,3081.075837135315
SC47,2023-12-01,4,3081.075837135315
SC47,2023-12-01,5,3081.075837135315
SC47,2023-12-01,6,3081.075837135315
SC47,2023-12-01,7,3081.075837135315
SC47,2023-12-01,8,3081.075837135315
SC47,2023-12-01,9,3081.075837135315
SC47,2023-12-01,10,3081.075837135315
SC47,2023-12-01,11,3081.075837135315
SC47,2023-12-01,12,3081.075837135315
SC47,2023-12-01,13,3081.075837135315
SC47,2023-12-01,14,3081.075837135315
SC47,2023-12-01,15,3081.075837135315
SC47,2023-12-01,16,3081.075837135315
SC47,2023-12-01,17,3081.075837135315
SC47,2023-12-01,18,3081.075837135315
SC47,2023-12-01,19,3081.075837135315
SC47,2023-12-01,20,3081.075837135315
SC47,2023-12-01,21,3081.075837135315
SC47,2023-12-01,22,3081.075837135315
SC47,2023-12-01,23,3081.075837135315
SC47,2023-12-01,24,3081.075837135315
SC38,2023-12-01,1,358.7471259832382
SC38,2023-12-01,2,358.7471259832382
SC38,2023-12-01,3,358.7471259832382
SC38,2023-12-01,4,358.7471259832382
SC38,2023-12-01,5,358.7471259832382
SC38,2023-12-01,6,358.7471259832382
SC38,2023-12-01,7,358.7471259832382
SC38,2023-12-01,8,358.7471259832382
SC38,2023-12-01,9,358.7471259832382
SC38,2023-12-01,10,358.7471259832382
SC38,2023-12-01,11,358.7471259832382
SC38,2023-12-01,12,358.7471259832382
SC38,2023-12-01,13,358.7471259832382
SC38,2023-12-01,14,358.7471259832382
SC38,2023-12-01,15,358.7471259832382
SC38,2023-12-01,16,358.7471259832382
SC38,2023-12-01,17,358.7471259832382
SC38,2023-12-01,18,358.7471259832382
SC38,2023-12-01,19,358.7471259832382
SC38,2023-12-01,20,358.7471259832382
SC38,2023-12-01,21,358.7471259832382
SC38,2023-12-01,22,358.7471259832382
SC38,2023-12-01,23,358.7471259832382
SC38,2023-12-01,24,358.7471259832382
SC15,2023-12-01,1,138.98363158106804
SC15,2023-12-01,2,138.98363158106804
SC15,2023-12-01,3,138.98363158106804
SC15,2023-12-01,4,138.98363158106804
SC15,2023-12-01,5,138.98363158106804
SC15,2023-12-01,6,138.98363158106804
SC15,2023-12-01,7,138.98363158106804
SC15,2023-12-01,8,138.98363158106804
SC15,2023-12-01,9,138.98363158106804
SC15,2023-12-01,10,138.98363158106804
SC15,2023-12-01,11,138.98363158106804
SC15,2023-12-01,12,138.98363158106804
SC15,2023-12-01,13,138.98363158106804
SC15,2023-12-01,14,138.98363158106804
SC15,2023-12-01,15,138.98363158106804
SC15,2023-12-01,16,138.98363158106804
SC15,2023-12-01,17,138.98363158106804
SC15,2023-12-01,18,138.98363158106804
SC15,2023-12-01,19,138.98363158106804
SC15,2023-12-01,20,138.98363158106804
SC15,2023-12-01,21,138.98363158106804
SC15,2023-12-01,22,138.98363158106804
SC15,2023-12-01,23,138.98363158106804
SC15,2023-12-01,24,138.98363158106804
SC56,2023-12-01,1,90.17123758792877
SC56,2023-12-01,2,90.17123758792877
SC56,2023-12-01,3,90.17123758792877
SC56,2023-12-01,4,90.17123758792877
SC56,2023-12-01,5,90.17123758792877
SC56,2023-12-01,6,90.17123758792877
SC56,2023-12-01,7,90.17123758792877
SC56,2023-12-01,8,90.17123758792877
SC56,2023-12-01,9,90.17123758792877
SC56,2023-12-01,10,90.17123758792877
SC56,2023-12-01,11,90.17123758792877
SC56,2023-12-01,12,90.17123758792877
SC56,2023-12-01,13,90.17123758792877
SC56,2023-12-01,14,90.17123758792877
SC56,2023-12-01,15,90.17123758792877
SC56,2023-12-01,16,90.17123758792877
SC56,2023-12-01,17,90.17123758792877
SC56,2023-12-01,18,90.17123758792877
SC56,2023-12-01,19,90.17123758792877
SC56,2023-12-01,20,90.17123758792877
SC56,2023-12-01,21,90.17123758792877
SC56,2023-12-01,22,90.17123758792877
SC56,2023-12-01,23,90.17123758792877
SC56,2023-12-01,24,90.17123758792877
SC55,2023-12-01,1,137.70443625748158
SC55,2023-12-01,2,137.70443625748158
SC55,2023-12-01,3,137.70443625748158
SC55,2023-12-01,4,137.70443625748158
SC55,2023-12-01,5,137.70443625748158
SC55,2023-12-01,6,137.70443625748158
SC55,2023-12-01,7,137.70443625748158
SC55,2023-12-01,8,137.70443625748158
SC55,2023-12-01,9,137.70443625748158
SC55,2023-12-01,10,137.70443625748158
SC55,2023-12-01,11,137.70443625748158
SC55,2023-12-01,12,137.70443625748158
SC55,2023-12-01,13,137.70443625748158
SC55,2023-12-01,14,137.70443625748158
SC55,2023-12-01,15,137.70443625748158
SC55,2023-12-01,16,137.70443625748158
SC55,2023-12-01,17,137.70443625748158
SC55,2023-12-01,18,137.70443625748158
SC55,2023-12-01,19,137.70443625748158
SC55,2023-12-01,20,137.70443625748158
SC55,2023-12-01,21,137.70443625748158
SC55,2023-12-01,22,137.70443625748158
SC55,2023-12-01,23,137.70443625748158
SC55,2023-12-01,24,137.70443625748158
SC39,2023-12-01,1,142.24781119823456
SC39,2023-12-01,2,142.24781119823456
SC39,2023-12-01,3,142.24781119823456
SC39,2023-12-01,4,142.24781119823456
SC39,2023-12-01,5,142.24781119823456
SC39,2023-12-01,6,142.24781119823456
SC39,2023-12-01,7,142.24781119823456
SC39,2023-12-01,8,142.24781119823456
SC39,2023-12-01,9,142.24781119823456
SC39,2023-12-01,10,142.24781119823456
SC39,2023-12-01,11,142.24781119823456
SC39,2023-12-01,12,142.24781119823456
SC39,2023-12-01,13,142.24781119823456
SC39,2023-12-01,14,142.24781119823456
SC39,2023-12-01,15,142.24781119823456
SC39,2023-12-01,16,142.24781119823456
SC39,2023-12-01,17,142.24781119823456
SC39,2023-12-01,18,142.24781119823456
SC39,2023-12-01,19,142.24781119823456
SC39,2023-12-01,20,142.24781119823456
SC39,2023-12-01,21,142.24781119823456
SC39,2023-12-01,22,142.24781119823456
SC39,2023-12-01,23,142.24781119823456
SC39,2023-12-01,24,142.24781119823456
SC25,2023-12-01,1,3245.1810106635094
SC25,2023-12-01,2,3245.1810106635094
SC25,2023-12-01,3,3245.1810106635094
SC25,2023-12-01,4,3245.1810106635094
SC25,2023-12-01,5,3245.1810106635094
SC25,2023-12-01,6,3245.1810106635094
SC25,2023-12-01,7,3245.1810106635094
SC25,2023-12-01,8,3245.1810106635094
SC25,2023-12-01,9,3245.1810106635094
SC25,2023-12-01,10,3245.1810106635094
SC25,2023-12-01,11,3245.1810106635094
SC25,2023-12-01,12,3245.1810106635094
SC25,2023-12-01,13,3245.1810106635094
SC25,2023-12-01,14,3245.1810106635094
SC25,2023-12-01,15,3245.1810106635094
SC25,2023-12-01,16,3245.1810106635094
SC25,2023-12-01,17,3245.1810106635094
SC25,2023-12-01,18,3245.1810106635094
SC25,2023-12-01,19,3245.1810106635094
SC25,2023-12-01,20,3245.1810106635094
SC25,2023-12-01,21,3245.1810106635094
SC25,2023-12-01,22,3245.1810106635094
SC25,2023-12-01,23,3245.1810106635094
SC25,2023-12-01,24,3245.1810106635094
SC53,2023-12-01,1,834.1457154750824
SC53,2023-12-01,2,834.1457154750824
SC53,2023-12-01,3,834.1457154750824
SC53,2023-12-01,4,834.1457154750824
SC53,2023-12-01,5,834.1457154750824
SC53,2023-12-01,6,834.1457154750824
SC53,2023-12-01,7,834.1457154750824
SC53,2023-12-01,8,834.1457154750824
SC53,2023-12-01,9,834.1457154750824
SC53,2023-12-01,10,834.1457154750824
SC53,2023-12-01,11,834.1457154750824
SC53,2023-12-01,12,834.1457154750824
SC53,2023-12-01,13,834.1457154750824
SC53,2023-12-01,14,834.1457154750824
SC53,2023-12-01,15,834.1457154750824
SC53,2023-12-01,16,834.1457154750824
SC53,2023-12-01,17,834.1457154750824
SC53,2023-12-01,18,834.1457154750824
SC53,2023-12-01,19,834.1457154750824
SC53,2023-12-01,20,834.1457154750824
SC53,2023-12-01,21,834.1457154750824
SC53,2023-12-01,22,834.1457154750824
SC53,2023-12-01,23,834.1457154750824
SC53,2023-12-01,24,834.1457154750824
SC18,2023-12-01,1,246.2888547182083
SC18,2023-12-01,2,246.2888547182083
SC18,2023-12-01,3,246.2888547182083
SC18,2023-12-01,4,246.2888547182083
SC18,2023-12-01,5,246.2888547182083
SC18,2023-12-01,6,246.2888547182083
SC18,2023-12-01,7,246.2888547182083
SC18,2023-12-01,8,246.2888547182083
SC18,2023-12-01,9,246.2888547182083
SC18,2023-12-01,10,246.2888547182083
SC18,2023-12-01,11,246.2888547182083
SC18,2023-12-01,12,246.2888547182083
SC18,2023-12-01,13,246.2888547182083
SC18,2023-12-01,14,246.2888547182083
SC18,2023-12-01,15,246.2888547182083
SC18,2023-12-01,16,246.2888547182083
SC18,2023-12-01,17,246.2888547182083
SC18,2023-12-01,18,246.2888547182083
SC18,2023-12-01,19,246.2888547182083
SC18,2023-12-01,20,246.2888547182083
SC18,2023-12-01,21,246.2888547182083
SC18,2023-12-01,22,246.2888547182083
SC18,2023-12-01,23,246.2888547182083
SC18,2023-12-01,24,246.2888547182083
SC6,2023-12-01,1,1262.7710044384003
SC6,2023-12-01,2,1262.7710044384003
SC6,2023-12-01,3,1262.7710044384003
SC6,2023-12-01,4,1262.7710044384003
SC6,2023-12-01,5,1262.7710044384003
SC6,2023-12-01,6,1262.7710044384003
SC6,2023-12-01,7,1262.7710044384003
SC6,2023-12-01,8,1262.7710044384003
SC6,2023-12-01,9,1262.7710044384003
SC6,2023-12-01,10,1262.7710044384003
SC6,2023-12-01,11,1262.7710044384003
SC6,2023-12-01,12,1262.7710044384003
SC6,2023-12-01,13,1262.7710044384003
SC6,2023-12-01,14,1262.7710044384003
SC6,2023-12-01,15,1262.7710044384003
SC6,2023-12-01,16,1262.7710044384003
SC6,2023-12-01,17,1262.7710044384003
SC6,2023-12-01,18,1262.7710044384003
SC6,2023-12-01,19,1262.7710044384003
SC6,2023-12-01,20,1262.7710044384003
SC6,2023-12-01,21,1262.7710044384003
SC6,2023-12-01,22,1262.7710044384003
SC6,2023-12-01,23,1262.7710044384003
SC6,2023-12-01,24,1262.7710044384003
SC30,2023-12-01,1,87.58896788209677
SC30,2023-12-01,2,87.58896788209677
SC30,2023-12-01,3,87.58896788209677
SC30,2023-12-01,4,87.58896788209677
SC30,2023-12-01,5,87.58896788209677
SC30,2023-12-01,6,87.58896788209677
SC30,2023-12-01,7,87.58896788209677
SC30,2023-12-01,8,87.58896788209677
SC30,2023-12-01,9,87.58896788209677
SC30,2023-12-01,10,87.58896788209677
SC30,2023-12-01,11,87.58896788209677
SC30,2023-12-01,12,87.58896788209677
SC30,2023-12-01,13,87.58896788209677
SC30,2023-12-01,14,87.58896788209677
SC30,2023-12-01,15,87.58896788209677
SC30,2023-12-01,16,87.58896788209677
SC30,2023-12-01,17,87.58896788209677
SC30,2023-12-01,18,87.58896788209677
SC30,2023-12-01,19,87.58896788209677
SC30,2023-12-01,20,87.58896788209677
SC30,2023-12-01,21,87.58896788209677
SC30,2023-12-01,22,87.58896788209677
SC30,2023-12-01,23,87.58896788209677
SC30,2023-12-01,24,87.58896788209677
SC34,2023-12-01,1,564.2041808366776
SC34,2023-12-01,2,564.2041808366776
SC34,2023-12-01,3,564.2041808366776
SC34,2023-12-01,4,564.2041808366776
SC34,2023-12-01,5,564.2041808366776
SC34,2023-12-01,6,564.2041808366776
SC34,2023-12-01,7,564.2041808366776
SC34,2023-12-01,8,564.2041808366776
SC34,2023-12-01,9,564.2041808366776
SC34,2023-12-01,10,564.2041808366776
SC34,2023-12-01,11,564.2041808366776
SC34,2023-12-01,12,564.2041808366776
SC34,2023-12-01,13,564.2041808366776
SC34,2023-12-01,14,564.2041808366776
SC34,2023-12-01,15,564.2041808366776
SC34,2023-12-01,16,564.2041808366776
SC34,2023-12-01,17,564.2041808366776
SC34,2023-12-01,18,564.2041808366776
SC34,2023-12-01,19,564.2041808366776
SC34,2023-12-01,20,564.2041808366776
SC34,2023-12-01,21,564.2041808366776
SC34,2023-12-01,22,564.2041808366776
SC34,2023-12-01,23,564.2041808366776
SC34,2023-12-01,24,564.2041808366776
SC44,2023-12-01,1,211.37875318527222
SC44,2023-12-01,2,211.37875318527222
SC44,2023-12-01,3,211.37875318527222
SC44,2023-12-01,4,211.37875318527222
SC44,2023-12-01,5,211.37875318527222
SC44,2023-12-01,6,211.37875318527222
SC44,2023-12-01,7,211.37875318527222
SC44,2023-12-01,8,211.37875318527222
SC44,2023-12-01,9,211.37875318527222
SC44,2023-12-01,10,211.37875318527222
SC44,2023-12-01,11,211.37875318527222
SC44,2023-12-01,12,211.37875318527222
SC44,2023-12-01,13,211.37875318527222
SC44,2023-12-01,14,211.37875318527222
SC44,2023-12-01,15,211.37875318527222
SC44,2023-12-01,16,211.37875318527222
SC44,2023-12-01,17,211.37875318527222
SC44,2023-12-01,18,211.37875318527222
SC44,2023-12-01,19,211.37875318527222
SC44,2023-12-01,20,211.37875318527222
SC44,2023-12-01,21,211.37875318527222
SC44,2023-12-01,22,211.37875318527222
SC44,2023-12-01,23,211.37875318527222
SC44,2023-12-01,24,211.37875318527222
SC21,2023-12-01,1,98.84487420320511
SC21,2023-12-01,2,98.84487420320511
SC21,2023-12-01,3,98.84487420320511
SC21,2023-12-01,4,98.84487420320511
SC21,2023-12-01,5,98.84487420320511
SC21,2023-12-01,6,98.84487420320511
SC21,2023-12-01,7,98.84487420320511
SC21,2023-12-01,8,98.84487420320511
SC21,2023-12-01,9,98.84487420320511
SC21,2023-12-01,10,98.84487420320511
