分拣中心,预测日期,预测货量
SC66,23,861.3763728141785
SC66,24,861.3763728141785
SC66,25,861.3763728141785
SC66,26,861.3763728141785
SC66,27,861.3763728141785
SC66,28,861.3763728141785
SC66,29,861.3763728141785
SC66,30,861.3763728141785
SC9,1,27630.994750663638
SC9,2,27661.232309043407
SC9,3,27661.52492825687
SC9,4,27661.527804121375
SC9,5,27661.527804121375
SC9,6,27661.527804121375
SC9,7,27661.527804121375
SC9,8,27661.527804121375
SC9,9,27661.527804121375
SC9,10,27661.527804121375
SC9,11,27661.527804121375
SC9,12,27661.527804121375
SC9,13,27661.527804121375
SC9,14,27661.527804121375
SC9,15,27661.527804121375
SC9,16,27661.527804121375
SC9,17,27661.527804121375
SC9,18,27661.527804121375
SC9,19,27661.527804121375
SC9,20,27661.527804121375
SC9,21,27661.527804121375
SC9,22,27661.527804121375
SC9,23,27661.527804121375
SC9,24,27661.527804121375
SC9,25,27661.527804121375
SC9,26,27661.527804121375
SC9,27,27661.527804121375
SC9,28,27661.527804121375
SC9,29,27661.527804121375
SC9,30,27661.527804121375
SC53,1,32429.9133605361
SC53,2,32518.79782116413
SC53,3,32522.633047282696
SC53,4,32522.798628807068
SC53,5,32522.804595708847
SC53,6,32522.80534157157
SC53,7,32522.804595708847
SC53,8,32522.80534157157
SC53,9,32522.804595708847
SC53,10,32522.80534157157
SC53,11,32522.804595708847
SC53,12,32522.80534157157
SC53,13,32522.804595708847
SC53,14,32522.80534157157
SC53,15,32522.804595708847
SC53,16,32522.80534157157
SC53,17,32522.804595708847
SC53,18,32522.80534157157
SC53,19,32522.804595708847
SC53,20,32522.80534157157
SC53,21,32522.804595708847
SC53,22,32522.80534157157
SC53,23,32522.804595708847
SC53,24,32522.80534157157
SC53,25,32522.804595708847
SC53,26,32522.80534157157
SC53,27,32522.804595708847
SC53,28,32522.80534157157
SC53,29,32522.804595708847
SC53,30,32522.80534157157
SC38,1,4363.987159729004
SC38,2,4305.035715185106
SC38,3,4299.515192992985
SC38,4,4298.996022127569
SC38,5,4298.947075381875
SC38,6,4298.942603901029
SC38,7,4298.942124813795
SC38,8,4298.942124813795
SC38,9,4298.942124813795
SC38,10,4298.942124813795
SC38,11,4298.942124813795
SC38,12,4298.942124813795
SC38,13,4298.942124813795
SC38,14,4298.942124813795
SC38,15,4298.942124813795
SC38,16,4298.942124813795
SC38,17,4298.942124813795
SC38,18,4298.942124813795
SC38,19,4298.942124813795
SC38,20,4298.942124813795
SC38,21,4298.942124813795
SC38,22,4298.942124813795
SC38,23,4298.942124813795
SC38,24,4298.942124813795
SC38,25,4298.942124813795
SC38,26,4298.942124813795
SC38,27,4298.942124813795
SC38,28,4298.942124813795
SC38,29,4298.942124813795
SC38,30,4298.942124813795
SC20,1,208.90665802359584
SC20,2,215.12771929800513
SC20,3,215.83732625842097
SC20,4,215.9186317920685
SC20,5,215.92796963453296
SC20,6,215.9290332645178
SC20,7,215.92915758490565
SC20,8,215.92915758490565
SC20,9,215.92915758490565
SC20,10,215.92915758490565
SC20,11,215.92915758490565
SC20,12,215.92915758490565
SC20,13,215.92915758490565
SC20,14,215.92915758490565
SC20,15,215.92915758490565
SC20,16,215.92915758490565
SC20,17,215.92915758490565
SC20,18,215.92915758490565
SC20,19,215.92915758490565
SC20,20,215.92915758490565
SC20,21,215.92915758490565
SC20,22,215.92915758490565
SC20,23,215.92915758490565
SC20,24,215.92915758490565
SC20,25,215.92915758490565
SC20,26,215.92915758490565
SC20,27,215.92915758490565
SC20,28,215.92915758490565
SC20,29,215.92915758490565
SC20,30,215.92915758490565
SC39,1,2707.3783408403397
SC39,2,2717.7998863458633
SC39,3,2718.4237884283066
SC39,4,2718.4610109329224
SC39,5,2718.4633727669716
SC39,6,2718.4634672403336
SC39,7,2718.4634672403336
SC39,8,2718.4634672403336
SC39,9,2718.4634672403336
SC39,10,2718.4634672403336
SC39,11,2718.4634672403336
SC39,12,2718.4634672403336
SC39,13,2718.4634672403336
SC39,14,2718.4634672403336
SC39,15,2718.4634672403336
SC39,16,2718.4634672403336
SC39,17,2718.4634672403336
SC39,18,2718.4634672403336
SC39,19,2718.4634672403336
SC39,20,2718.4634672403336
SC39,21,2718.4634672403336
SC39,22,2718.4634672403336
SC39,23,2718.4634672403336
SC39,24,2718.4634672403336
SC39,25,2718.4634672403336
SC39,26,2718.4634672403336
SC39,27,2718.4634672403336
SC39,28,2718.4634672403336
SC39,29,2718.4634672403336
SC39,30,2718.4634672403336
SC47,1,46007.28101858497
SC47,2,46476.260974526405
SC47,3,46394.702597498894
SC47,4,46408.89001750946
SC47,5,46406.421149253845
SC47,6,46406.851915329695
SC47,7,46406.77690631151
SC47,8,46406.78976500034
SC47,9,46406.78762188554
SC47,10,46406.78762188554
SC47,11,46406.78762188554
SC47,12,46406.78762188554
SC47,13,46406.78762188554
SC47,14,46406.78762188554
SC47,15,46406.78762188554
SC47,16,46406.78762188554
SC47,17,46406.78762188554
SC47,18,46406.78762188554
SC47,19,46406.78762188554
SC47,20,46406.78762188554
SC47,21,46406.78762188554
SC47,22,46406.78762188554
SC47,23,46406.78762188554
SC47,24,46406.78762188554
SC47,25,46406.78762188554
SC47,26,46406.78762188554
SC47,27,46406.78762188554
SC47,28,46406.78762188554
SC47,29,46406.78762188554
SC47,30,46406.78762188554
SC8,1,41401.08913457393
SC8,2,41488.551570117466
SC8,3,41491.39997649192
SC8,4,41491.491860568516
SC8,5,41491.496342718594
SC8,6,41491.496342718594
SC8,7,41491.496342718594
SC8,8,41491.496342718594
SC8,9,41491.496342718594
SC8,10,41491.496342718594
SC8,11,41491.496342718594
SC8,12,41491.496342718594
SC8,13,41491.496342718594
SC8,14,41491.496342718594
SC8,15,41491.496342718594
SC8,16,41491.496342718594
SC8,17,41491.496342718594
SC8,18,41491.496342718594
SC8,19,41491.496342718594
SC8,20,41491.496342718594
SC8,21,41491.496342718594
SC8,22,41491.496342718594
SC8,23,41491.496342718594
SC8,24,41491.496342718594
SC8,25,41491.496342718594
SC8,26,41491.496342718594
SC8,27,41491.496342718594
SC8,28,41491.496342718594
SC8,29,41491.496342718594
SC8,30,41491.496342718594
SC43,1,3971.1682457327847
SC43,2,3929.930785324425
SC43,3,3931.725694172085
SC43,4,3931.6475655846302
SC43,5,3931.651011064649
SC43,6,3931.650824822486
SC43,7,3931.650824822486
SC43,8,3931.650824822486
SC43,9,3931.650824822486
SC43,10,3931.650824822486
SC43,11,3931.650824822486
SC43,12,3931.650824822486
SC43,13,3931.650824822486
SC43,14,3931.650824822486
SC43,15,3931.650824822486
SC43,16,3931.650824822486
SC43,17,3931.650824822486
SC43,18,3931.650824822486
SC43,19,3931.650824822486
SC43,20,3931.650824822486
SC43,21,3931.650824822486
SC43,22,3931.650824822486
SC43,23,3931.650824822486
SC43,24,3931.650824822486
SC43,25,3931.650824822486
SC43,26,3931.650824822486
SC43,27,3931.650824822486
SC43,28,3931.650824822486
SC43,29,3931.650824822486
SC43,30,3931.650824822486
SC52,1,3914.923038661479
SC52,2,3906.9857684075823
SC52,3,3907.103945642709
SC52,4,3907.1021414101115
SC52,5,3907.1021414101115
SC52,6,3907.1021414101115
SC52,7,3907.1021414101115
SC52,8,3907.1021414101115
SC52,9,3907.1021414101115
SC52,10,3907.1021414101115
SC52,11,3907.1021414101115
SC52,12,3907.1021414101115
SC52,13,3907.1021414101115
SC52,14,3907.1021414101115
SC52,15,3907.1021414101115
SC52,16,3907.1021414101115
SC52,17,3907.1021414101115
SC52,18,3907.1021414101115
SC52,19,3907.1021414101115
SC52,20,3907.1021414101115
SC52,21,3907.1021414101115
SC52,22,3907.1021414101115
SC52,23,3907.1021414101115
SC52,24,3907.1021414101115
SC52,25,3907.1021414101115
SC52,26,3907.1021414101115
SC52,27,3907.1021414101115
SC52,28,3907.1021414101115
SC52,29,3907.1021414101115
SC52,30,3907.1021414101115
SC31,1,11184.17093771696
SC31,2,11372.0384978652
SC31,3,11381.917876064777
SC31,4,11382.399204939604
SC31,5,11382.422332540154
SC31,6,11382.423019498587
SC31,7,11382.42324848473
SC31,8,11382.42324848473
SC31,9,11382.42324848473
SC31,10,11382.42324848473
SC31,11,11382.42324848473
SC31,12,11382.42324848473
SC31,13,11382.42324848473
SC31,14,11382.42324848473
SC31,15,11382.42324848473
SC31,16,11382.42324848473
SC31,17,11382.42324848473
SC31,18,11382.42324848473
SC31,19,11382.42324848473
SC31,20,11382.42324848473
SC31,21,11382.42324848473
SC31,22,11382.42324848473
SC31,23,11382.42324848473
SC31,24,11382.42324848473
SC31,25,11382.42324848473
SC31,26,11382.42324848473
SC31,27,11382.42324848473
SC31,28,11382.42324848473
SC31,29,11382.42324848473
SC31,30,11382.42324848473
SC21,1,2350.432680234313
SC21,2,2379.798929452896
SC21,3,2380.7621777653694
SC21,4,2380.793526083231
SC21,5,2380.79444809258
SC21,6,2380.7945319116116
SC21,7,2380.7945319116116
SC21,8,2380.7945319116116
SC21,9,2380.7945319116116
SC21,10,2380.7945319116116
SC21,11,2380.7945319116116
SC21,12,2380.7945319116116
SC21,13,2380.7945319116116
SC21,14,2380.7945319116116
SC21,15,2380.7945319116116
SC21,16,2380.7945319116116
SC21,17,2380.7945319116116
SC21,18,2380.7945319116116
SC21,19,2380.7945319116116
SC21,20,2380.7945319116116
SC21,21,2380.7945319116116
SC21,22,2380.7945319116116
SC21,23,2380.7945319116116
SC21,24,2380.7945319116116
SC21,25,2380.7945319116116
SC21,26,2380.7945319116116
SC21,27,2380.7945319116116
SC21,28,2380.7945319116116
SC21,29,2380.7945319116116
SC21,30,2380.7945319116116
SC49,1,6844.083405137062
SC49,2,6873.631927624345
SC49,3,6875.2742366194725
SC49,4,6875.365644305944
SC49,5,6875.370649337769
SC49,6,6875.370912760496
SC49,7,6875.37104447186
SC49,8,6875.37104447186
SC49,9,6875.37104447186
SC49,10,6875.37104447186
SC49,11,6875.37104447186
SC49,12,6875.37104447186
SC49,13,6875.37104447186
SC49,14,6875.37104447186
SC49,15,6875.37104447186
SC49,16,6875.37104447186
SC49,17,6875.37104447186
SC49,18,6875.37104447186
SC49,19,6875.37104447186
SC49,20,6875.37104447186
SC49,21,6875.37104447186
SC49,22,6875.37104447186
SC49,23,6875.37104447186
SC49,24,6875.37104447186
SC49,25,6875.37104447186
SC49,26,6875.37104447186
SC49,27,6875.37104447186
SC49,28,6875.37104447186
SC49,29,6875.37104447186
SC49,30,6875.37104447186
SC37,1,844.7658245563507
SC37,2,820.7234894037247
SC37,3,819.2165728211403
SC37,4,819.1229181289673
SC37,5,819.1171472072601
SC37,6,819.1167481541634
SC37,7,819.1167788505554
SC37,8,819.1167481541634
SC37,9,819.1167788505554
SC37,10,819.1167481541634
SC37,11,819.1167788505554
SC37,12,819.1167481541634
SC37,13,819.1167788505554
SC37,14,819.1167481541634
SC37,15,819.1167788505554
SC37,16,819.1167481541634
SC37,17,819.1167788505554
SC37,18,819.1167481541634
SC37,19,819.1167788505554
SC37,20,819.1167481541634
SC37,21,819.1167788505554
SC37,22,819.1167481541634
SC37,23,819.1167788505554
SC37,24,819.1167481541634
SC37,25,819.1167788505554
SC37,26,819.1167481541634
SC37,27,819.1167788505554
SC37,28,819.1167481541634
SC37,29,819.1167788505554
SC37,30,819.1167481541634
SC29,1,7440.680658772589
SC29,2,7330.158920556308
SC29,3,7323.39386317134
SC29,4,7322.979609936477
SC29,5,7322.953988805414
SC29,6,7322.952640324832
SC29,7,7322.9523706287155
SC29,8,7322.9523706287155
SC29,9,7322.9523706287155
SC29,10,7322.9523706287155
SC29,11,7322.9523706287155
SC29,12,7322.9523706287155
SC29,13,7322.9523706287155
SC29,14,7322.9523706287155
SC29,15,7322.9523706287155
SC29,16,7322.9523706287155
SC29,17,7322.9523706287155
SC29,18,7322.9523706287155
SC29,19,7322.9523706287155
SC29,20,7322.9523706287155
SC29,21,7322.9523706287155
SC29,22,7322.9523706287155
SC29,23,7322.9523706287155
SC29,24,7322.9523706287155
SC29,25,7322.9523706287155
SC29,26,7322.9523706287155
SC29,27,7322.9523706287155
SC29,28,7322.9523706287155
SC29,29,7322.9523706287155
SC29,30,7322.9523706287155
SC5,1,22435.22181868553
SC5,2,22376.615458369255
SC5,3,22377.737542271614
SC5,4,22377.717066287994
SC5,5,22377.717066287994
SC5,6,22377.717066287994
SC5,7,22377.717066287994
SC5,8,22377.717066287994
SC5,9,22377.717066287994
SC5,10,22377.717066287994
SC5,11,22377.717066287994
SC5,12,22377.717066287994
SC5,13,22377.717066287994
SC5,14,22377.717066287994
SC5,15,22377.717066287994
SC5,16,22377.717066287994
SC5,17,22377.717066287994
SC5,18,22377.717066287994
SC5,19,22377.717066287994
SC5,20,22377.717066287994
SC5,21,22377.717066287994
SC5,22,22377.717066287994
SC5,23,22377.717066287994
SC5,24,22377.717066287994
SC5,25,22377.717066287994
SC5,26,22377.717066287994
SC5,27,22377.717066287994
SC5,28,22377.717066287994
SC5,29,22377.717066287994
SC5,30,22377.717066287994
SC23,1,2968.96702849865
SC23,2,2869.356055796147
SC23,3,2876.9577072709803
SC23,4,2876.379493415356
SC23,5,2876.423595413566
SC23,6,2876.4201516807084
SC23,7,2876.420373857022
SC23,8,2876.4204849451785
SC23,9,2876.4204849451785
SC23,10,2876.4204849451785
SC23,11,2876.4204849451785
SC23,12,2876.4204849451785
SC23,13,2876.4204849451785
SC23,14,2876.4204849451785
SC23,15,2876.4204849451785
SC23,16,2876.4204849451785
SC23,17,2876.4204849451785
SC23,18,2876.4204849451785
SC23,19,2876.4204849451785
SC23,20,2876.4204849451785
SC23,21,2876.4204849451785
SC23,22,2876.4204849451785
SC23,23,2876.4204849451785
SC23,24,2876.4204849451785
SC23,25,2876.4204849451785
SC23,26,2876.4204849451785
SC23,27,2876.4204849451785
SC23,28,2876.4204849451785
SC23,29,2876.4204849451785
SC23,30,2876.4204849451785
SC16,1,2590.635401725769
SC16,2,2600.2014050483704
SC16,3,2600.928794026375
SC16,4,2600.9840915203094
SC16,5,2600.9883522987366
SC16,6,2600.9887228012085
SC16,7,2600.9888154268265
SC16,8,2600.9887228012085
SC16,9,2600.9888154268265
SC16,10,2600.9887228012085
SC16,11,2600.9888154268265
SC16,12,2600.9887228012085
SC16,13,2600.9888154268265
SC16,14,2600.9887228012085
SC16,15,2600.9888154268265
SC16,16,2600.9887228012085
SC16,17,2600.9888154268265
SC16,18,2600.9887228012085
SC16,19,2600.9888154268265
SC16,20,2600.9887228012085
SC16,21,2600.9888154268265
SC16,22,2600.9887228012085
SC16,23,2600.9888154268265
SC16,24,2600.9887228012085
SC16,25,2600.9888154268265
SC16,26,2600.9887228012085
SC16,27,2600.9888154268265
SC16,28,2600.9887228012085
SC16,29,2600.9888154268265
SC16,30,2600.9887228012085
SC36,1,713.953437358141
SC36,2,719.6693258285522
SC36,3,719.5025721788406
SC36,4,719.5074173212051
SC36,5,719.5072827339172
SC36,6,719.5072827339172
SC36,7,719.5072827339172
SC36,8,719.5072827339172
SC36,9,719.5072827339172
SC36,10,719.5072827339172
SC36,11,719.5072827339172
SC36,12,719.5072827339172
SC36,13,719.5072827339172
SC36,14,719.5072827339172
SC36,15,719.5072827339172
SC36,16,719.5072827339172
SC36,17,719.5072827339172
SC36,18,719.5072827339172
SC36,19,719.5072827339172
SC36,20,719.5072827339172
SC36,21,719.5072827339172
SC36,22,719.5072827339172
SC36,23,719.5072827339172
SC36,24,719.5072827339172
SC36,25,719.5072827339172
SC36,26,719.5072827339172
SC36,27,719.5072827339172
SC36,28,719.5072827339172
SC36,29,719.5072827339172
SC36,30,719.5072827339172
SC57,1,12481.216733455658
SC57,2,12452.921407461166
SC57,3,12452.978024482727
SC57,4,12452.978024482727
SC57,5,12452.978024482727
SC57,6,12452.978024482727
SC57,7,12452.978024482727
SC57,8,12452.978024482727
SC57,9,12452.978024482727
SC57,10,12452.978024482727
SC57,11,12452.978024482727
SC57,12,12452.978024482727
SC57,13,12452.978024482727
SC57,14,12452.978024482727
SC57,15,12452.978024482727
SC57,16,12452.978024482727
SC57,17,12452.978024482727
SC57,18,12452.978024482727
SC57,19,12452.978024482727
SC57,20,12452.978024482727
SC57,21,12452.978024482727
SC57,22,12452.978024482727
SC57,23,12452.978024482727
SC57,24,12452.978024482727
SC57,25,12452.978024482727
SC57,26,12452.978024482727
SC57,27,12452.978024482727
SC57,28,12452.978024482727
SC57,29,12452.978024482727
SC57,30,12452.978024482727
SC2,1,8970.916678667068
SC2,2,8795.205165028572
SC2,3,8821.59950184822
SC2,4,8817.618290424347
SC2,5,8818.218246936798
SC2,6,8818.12800347805
SC2,7,8818.14150249958
SC2,8,8818.139502644539
SC2,9,8818.139752626419
SC2,10,8818.139752626419
SC2,11,8818.139752626419
SC2,12,8818.139752626419
SC2,13,8818.139752626419
SC2,14,8818.139752626419
SC2,15,8818.139752626419
SC2,16,8818.139752626419
SC2,17,8818.139752626419
SC2,18,8818.139752626419
SC2,19,8818.139752626419
SC2,20,8818.139752626419
SC2,21,8818.139752626419
SC2,22,8818.139752626419
SC2,23,8818.139752626419
SC2,24,8818.139752626419
SC2,25,8818.139752626419
SC2,26,8818.139752626419
SC2,27,8818.139752626419
SC2,28,8818.139752626419
SC2,29,8818.139752626419
SC2,30,8818.139752626419
SC12,1,4533.873255506158
SC12,2,4586.415426760912
SC12,3,4599.339914292097
SC12,4,4602.520244657993
SC12,5,4603.302554234862
SC12,6,4603.494600266218
SC12,7,4603.542386367917
SC12,8,4603.553806945682
SC12,9,4603.557112902403
SC12,10,4603.557713985443
SC12,11,4603.557713985443
SC12,12,4603.557713985443
SC12,13,4603.557713985443
SC12,14,4603.557713985443
SC12,15,4603.557713985443
SC12,16,4603.557713985443
SC12,17,4603.557713985443
SC12,18,4603.557713985443
SC12,19,4603.557713985443
SC12,20,4603.557713985443
SC12,21,4603.557713985443
SC12,22,4603.557713985443
SC12,23,4603.557713985443
SC12,24,4603.557713985443
SC12,25,4603.557713985443
SC12,26,4603.557713985443
SC12,27,4603.557713985443
SC12,28,4603.557713985443
SC12,29,4603.557713985443
SC12,30,4603.557713985443
SC18,1,5671.320957422256
SC18,2,6734.080119132996
SC18,3,6686.702219605446
SC18,4,6688.896306276321
SC18,5,6688.795057177544
SC18,6,6688.799598693848
SC18,7,6688.79933154583
SC18,8,6688.79933154583
SC18,9,6688.79933154583
SC18,10,6688.79933154583
SC18,11,6688.79933154583
SC18,12,6688.79933154583
SC18,13,6688.79933154583
SC18,14,6688.79933154583
SC18,15,6688.79933154583
SC18,16,6688.79933154583
SC18,17,6688.79933154583
SC18,18,6688.79933154583
SC18,19,6688.79933154583
SC18,20,6688.79933154583
SC18,21,6688.79933154583
SC18,22,6688.79933154583
SC18,23,6688.79933154583
SC18,24,6688.79933154583
SC18,25,6688.79933154583
SC18,26,6688.79933154583
SC18,27,6688.79933154583
SC18,28,6688.79933154583
SC18,29,6688.79933154583
SC18,30,6688.79933154583
SC19,1,8491.500690340996
SC19,2,8592.992367565632
SC19,3,8585.27181828022
SC19,4,8585.858589053154
SC19,5,8585.814097642899
SC19,6,8585.817321658134
SC19,7,8585.817321658134
SC19,8,8585.817321658134
SC19,9,8585.817321658134
SC19,10,8585.817321658134
SC19,11,8585.817321658134
SC19,12,8585.817321658134
SC19,13,8585.817321658134
SC19,14,8585.817321658134
SC19,15,8585.817321658134
SC19,16,8585.817321658134
SC19,17,8585.817321658134
SC19,18,8585.817321658134
SC19,19,8585.817321658134
SC19,20,8585.817321658134
SC19,21,8585.817321658134
SC19,22,8585.817321658134
SC19,23,8585.817321658134
SC19,24,8585.817321658134
SC19,25,8585.817321658134
SC19,26,8585.817321658134
SC19,27,8585.817321658134
SC19,28,8585.817321658134
SC19,29,8585.817321658134
SC19,30,8585.817321658134
SC58,1,829.6182720661163
SC58,2,861.5022275447845
SC58,3,861.3119038939476
SC58,4,861.3134505152702
SC58,5,861.3134505152702
SC58,6,861.3134505152702
SC58,7,861.3134505152702
SC58,8,861.3134505152702
SC58,9,861.3134505152702
SC58,10,861.3134505152702
SC58,11,861.3134505152702
SC58,12,861.3134505152702
SC58,13,861.3134505152702
SC58,14,861.3134505152702
SC58,15,861.3134505152702
SC58,16,861.3134505152702
SC58,17,861.3134505152702
SC58,18,861.3134505152702
SC58,19,861.3134505152702
SC58,20,861.3134505152702
SC58,21,861.3134505152702
SC58,22,861.3134505152702
SC58,23,861.3134505152702
SC58,24,861.3134505152702
SC58,25,861.3134505152702
SC58,26,861.3134505152702
SC58,27,861.3134505152702
SC58,28,861.3134505152702
SC58,29,861.3134505152702
SC58,30,861.3134505152702
SC27,1,4299.75672622025
SC27,2,4479.778586626053
SC27,3,4450.018526807427
SC27,4,4454.892480500042
SC27,5,4454.093069940805
SC27,6,4454.224138744175
SC27,7,4454.202608138323
SC27,8,4454.206080816686
SC27,9,4454.205584719777
SC27,10,4454.205683939159
SC27,11,4454.205683939159
SC27,12,4454.205683939159
SC27,13,4454.205683939159
SC27,14,4454.205683939159
SC27,15,4454.205683939159
SC27,16,4454.205683939159
SC27,17,4454.205683939159
SC27,18,4454.205683939159
SC27,19,4454.205683939159
SC27,20,4454.205683939159
SC27,21,4454.205683939159
SC27,22,4454.205683939159
