分拣中心,日期,小时,货量
SC35,2023-12-06,7,761.6751
SC35,2023-12-06,8,761.6751
SC35,2023-12-06,9,761.6751
SC35,2023-12-06,10,761.6751
SC35,2023-12-06,11,761.6751
SC35,2023-12-06,12,761.6751
SC35,2023-12-06,13,761.6751
SC35,2023-12-06,14,761.6751
SC35,2023-12-06,15,761.6751
SC35,2023-12-06,16,761.6751
SC35,2023-12-06,17,761.6751
SC35,2023-12-06,18,761.6751
SC35,2023-12-06,19,761.6751
SC35,2023-12-06,20,761.6751
SC35,2023-12-06,21,761.6751
SC35,2023-12-06,22,761.6751
SC35,2023-12-06,23,761.6751
SC35,2023-12-07,0,761.6751
SC35,2023-12-07,1,761.6751
SC35,2023-12-07,2,761.6751
SC35,2023-12-07,3,761.6751
SC35,2023-12-07,4,761.6751
SC35,2023-12-07,5,761.6751
SC35,2023-12-07,6,761.6751
SC35,2023-12-07,7,761.6751
SC35,2023-12-07,8,761.6751
SC35,2023-12-07,9,761.6751
SC35,2023-12-07,10,761.6751
SC35,2023-12-07,11,761.6751
SC35,2023-12-07,12,761.6751
SC35,2023-12-07,13,761.6751
SC35,2023-12-07,14,761.6751
SC35,2023-12-07,15,761.6751
SC35,2023-12-07,16,761.6751
SC35,2023-12-07,17,761.6751
SC35,2023-12-07,18,761.6751
SC35,2023-12-07,19,761.6751
SC35,2023-12-07,20,761.6751
SC35,2023-12-07,21,761.6751
SC35,2023-12-07,22,761.6751
SC35,2023-12-07,23,761.6751
SC35,2023-12-08,0,761.6751
SC35,2023-12-08,1,761.6751
SC35,2023-12-08,2,761.6751
SC35,2023-12-08,3,761.6751
SC35,2023-12-08,4,761.6751
SC35,2023-12-08,5,761.6751
SC35,2023-12-08,6,761.6751
SC35,2023-12-08,7,761.6751
SC35,2023-12-08,8,761.6751
SC35,2023-12-08,9,761.6751
SC35,2023-12-08,10,761.6751
SC35,2023-12-08,11,761.6751
SC35,2023-12-08,12,761.6751
SC35,2023-12-08,13,761.6751
SC35,2023-12-08,14,761.6751
SC35,2023-12-08,15,761.6751
SC35,2023-12-08,16,761.6751
SC35,2023-12-08,17,761.6751
SC35,2023-12-08,18,761.6751
SC35,2023-12-08,19,761.6751
SC35,2023-12-08,20,761.6751
SC35,2023-12-08,21,761.6751
SC35,2023-12-08,22,761.6751
SC35,2023-12-08,23,761.6751
SC35,2023-12-09,0,761.6751
SC35,2023-12-09,1,761.6751
SC35,2023-12-09,2,761.6751
SC35,2023-12-09,3,761.6751
SC35,2023-12-09,4,761.6751
SC35,2023-12-09,5,761.6751
SC35,2023-12-09,6,761.6751
SC35,2023-12-09,7,761.6751
SC35,2023-12-09,8,761.6751
SC35,2023-12-09,9,761.6751
SC35,2023-12-09,10,761.6751
SC35,2023-12-09,11,761.6751
SC35,2023-12-09,12,761.6751
SC35,2023-12-09,13,761.6751
SC35,2023-12-09,14,761.6751
SC35,2023-12-09,15,761.6751
SC35,2023-12-09,16,761.6751
SC35,2023-12-09,17,761.6751
SC35,2023-12-09,18,761.6751
SC35,2023-12-09,19,761.6751
SC35,2023-12-09,20,761.6751
SC35,2023-12-09,21,761.6751
SC35,2023-12-09,22,761.6751
SC35,2023-12-09,23,761.6751
SC35,2023-12-10,0,761.6751
SC35,2023-12-10,1,761.6751
SC35,2023-12-10,2,761.6751
SC35,2023-12-10,3,761.6751
SC35,2023-12-10,4,761.6751
SC35,2023-12-10,5,761.6751
SC35,2023-12-10,6,761.6751
SC35,2023-12-10,7,761.6751
SC35,2023-12-10,8,761.6751
SC35,2023-12-10,9,761.6751
SC35,2023-12-10,10,761.6751
SC35,2023-12-10,11,761.6751
SC35,2023-12-10,12,761.6751
SC35,2023-12-10,13,761.6751
SC35,2023-12-10,14,761.6751
SC35,2023-12-10,15,761.6751
SC35,2023-12-10,16,761.6751
SC35,2023-12-10,17,761.6751
SC35,2023-12-10,18,761.6751
SC35,2023-12-10,19,761.6751
SC35,2023-12-10,20,761.6751
SC35,2023-12-10,21,761.6751
SC35,2023-12-10,22,761.6751
SC35,2023-12-10,23,761.6751
SC35,2023-12-11,0,761.6751
SC35,2023-12-11,1,761.6751
SC35,2023-12-11,2,761.6751
SC35,2023-12-11,3,761.6751
SC35,2023-12-11,4,761.6751
SC35,2023-12-11,5,761.6751
SC35,2023-12-11,6,761.6751
SC35,2023-12-11,7,761.6751
SC35,2023-12-11,8,761.6751
SC35,2023-12-11,9,761.6751
SC35,2023-12-11,10,761.6751
SC35,2023-12-11,11,761.6751
SC35,2023-12-11,12,761.6751
SC35,2023-12-11,13,761.6751
SC35,2023-12-11,14,761.6751
SC35,2023-12-11,15,761.6751
SC35,2023-12-11,16,761.6751
SC35,2023-12-11,17,761.6751
SC35,2023-12-11,18,761.6751
SC35,2023-12-11,19,761.6751
SC35,2023-12-11,20,761.6751
SC35,2023-12-11,21,761.6751
SC35,2023-12-11,22,761.6751
SC35,2023-12-11,23,761.6751
SC35,2023-12-12,0,761.6751
SC35,2023-12-12,1,761.6751
SC35,2023-12-12,2,761.6751
SC35,2023-12-12,3,761.6751
SC35,2023-12-12,4,761.6751
SC35,2023-12-12,5,761.6751
SC35,2023-12-12,6,761.6751
SC35,2023-12-12,7,761.6751
SC35,2023-12-12,8,761.6751
SC35,2023-12-12,9,761.6751
SC35,2023-12-12,10,761.6751
SC35,2023-12-12,11,761.6751
SC35,2023-12-12,12,761.6751
SC35,2023-12-12,13,761.6751
SC35,2023-12-12,14,761.6751
SC35,2023-12-12,15,761.6751
SC35,2023-12-12,16,761.6751
SC35,2023-12-12,17,761.6751
SC35,2023-12-12,18,761.6751
SC35,2023-12-12,19,761.6751
SC35,2023-12-12,20,761.6751
SC35,2023-12-12,21,761.6751
SC35,2023-12-12,22,761.6751
SC35,2023-12-12,23,761.6751
SC35,2023-12-13,0,761.6751
SC35,2023-12-13,1,761.6751
SC35,2023-12-13,2,761.6751
SC35,2023-12-13,3,761.6751
SC35,2023-12-13,4,761.6751
SC35,2023-12-13,5,761.6751
SC35,2023-12-13,6,761.6751
SC35,2023-12-13,7,761.6751
SC35,2023-12-13,8,761.6751
SC35,2023-12-13,9,761.6751
SC35,2023-12-13,10,761.6751
SC35,2023-12-13,11,761.6751
SC35,2023-12-13,12,761.6751
SC35,2023-12-13,13,761.6751
SC35,2023-12-13,14,761.6751
SC35,2023-12-13,15,761.6751
SC35,2023-12-13,16,761.6751
SC35,2023-12-13,17,761.6751
SC35,2023-12-13,18,761.6751
SC35,2023-12-13,19,761.6751
SC35,2023-12-13,20,761.6751
SC35,2023-12-13,21,761.6751
SC35,2023-12-13,22,761.6751
SC35,2023-12-13,23,761.6751
SC35,2023-12-14,0,761.6751
SC35,2023-12-14,1,761.6751
SC35,2023-12-14,2,761.6751
SC35,2023-12-14,3,761.6751
SC35,2023-12-14,4,761.6751
SC35,2023-12-14,5,761.6751
SC35,2023-12-14,6,761.6751
SC35,2023-12-14,7,761.6751
SC35,2023-12-14,8,761.6751
SC35,2023-12-14,9,761.6751
SC35,2023-12-14,10,761.6751
SC35,2023-12-14,11,761.6751
SC35,2023-12-14,12,761.6751
SC35,2023-12-14,13,761.6751
SC35,2023-12-14,14,761.6751
SC35,2023-12-14,15,761.6751
SC35,2023-12-14,16,761.6751
SC35,2023-12-14,17,761.6751
SC35,2023-12-14,18,761.6751
SC35,2023-12-14,19,761.6751
SC35,2023-12-14,20,761.6751
SC35,2023-12-14,21,761.6751
SC35,2023-12-14,22,761.6751
SC35,2023-12-14,23,761.6751
SC35,2023-12-15,0,761.6751
SC35,2023-12-15,1,761.6751
SC35,2023-12-15,2,761.6751
SC35,2023-12-15,3,761.6751
SC35,2023-12-15,4,761.6751
SC35,2023-12-15,5,761.6751
SC35,2023-12-15,6,761.6751
SC35,2023-12-15,7,761.6751
SC35,2023-12-15,8,761.6751
SC35,2023-12-15,9,761.6751
SC35,2023-12-15,10,761.6751
SC35,2023-12-15,11,761.6751
SC35,2023-12-15,12,761.6751
SC35,2023-12-15,13,761.6751
SC35,2023-12-15,14,761.6751
SC35,2023-12-15,15,761.6751
SC35,2023-12-15,16,761.6751
SC35,2023-12-15,17,761.6751
SC35,2023-12-15,18,761.6751
SC35,2023-12-15,19,761.6751
SC35,2023-12-15,20,761.6751
SC35,2023-12-15,21,761.6751
SC35,2023-12-15,22,761.6751
SC35,2023-12-15,23,761.6751
SC35,2023-12-16,0,761.6751
SC35,2023-12-16,1,761.6751
SC35,2023-12-16,2,761.6751
SC35,2023-12-16,3,761.6751
SC35,2023-12-16,4,761.6751
SC35,2023-12-16,5,761.6751
SC35,2023-12-16,6,761.6751
SC35,2023-12-16,7,761.6751
SC35,2023-12-16,8,761.6751
SC35,2023-12-16,9,761.6751
SC35,2023-12-16,10,761.6751
SC35,2023-12-16,11,761.6751
SC35,2023-12-16,12,761.6751
SC35,2023-12-16,13,761.6751
SC35,2023-12-16,14,761.6751
SC35,2023-12-16,15,761.6751
SC35,2023-12-16,16,761.6751
SC35,2023-12-16,17,761.6751
SC35,2023-12-16,18,761.6751
SC35,2023-12-16,19,761.6751
SC35,2023-12-16,20,761.6751
SC35,2023-12-16,21,761.6751
SC35,2023-12-16,22,761.6751
SC35,2023-12-16,23,761.6751
SC35,2023-12-17,0,761.6751
SC35,2023-12-17,1,761.6751
SC35,2023-12-17,2,761.6751
SC35,2023-12-17,3,761.6751
SC35,2023-12-17,4,761.6751
SC35,2023-12-17,5,761.6751
SC35,2023-12-17,6,761.6751
SC35,2023-12-17,7,761.6751
SC35,2023-12-17,8,761.6751
SC35,2023-12-17,9,761.6751
SC35,2023-12-17,10,761.6751
SC35,2023-12-17,11,761.6751
SC35,2023-12-17,12,761.6751
SC35,2023-12-17,13,761.6751
SC35,2023-12-17,14,761.6751
SC35,2023-12-17,15,761.6751
SC35,2023-12-17,16,761.6751
SC35,2023-12-17,17,761.6751
SC35,2023-12-17,18,761.6751
SC35,2023-12-17,19,761.6751
SC35,2023-12-17,20,761.6751
SC35,2023-12-17,21,761.6751
SC35,2023-12-17,22,761.6751
SC35,2023-12-17,23,761.6751
SC35,2023-12-18,0,761.6751
SC35,2023-12-18,1,761.6751
SC35,2023-12-18,2,761.6751
SC35,2023-12-18,3,761.6751
SC35,2023-12-18,4,761.6751
SC35,2023-12-18,5,761.6751
SC35,2023-12-18,6,761.6751
SC35,2023-12-18,7,761.6751
SC35,2023-12-18,8,761.6751
SC35,2023-12-18,9,761.6751
SC35,2023-12-18,10,761.6751
SC35,2023-12-18,11,761.6751
SC35,2023-12-18,12,761.6751
SC35,2023-12-18,13,761.6751
SC35,2023-12-18,14,761.6751
SC35,2023-12-18,15,761.6751
SC35,2023-12-18,16,761.6751
SC35,2023-12-18,17,761.6751
SC35,2023-12-18,18,761.6751
SC35,2023-12-18,19,761.6751
SC35,2023-12-18,20,761.6751
SC35,2023-12-18,21,761.6751
SC35,2023-12-18,22,761.6751
SC35,2023-12-18,23,761.6751
SC35,2023-12-19,0,761.6751
SC35,2023-12-19,1,761.6751
SC35,2023-12-19,2,761.6751
SC35,2023-12-19,3,761.6751
SC35,2023-12-19,4,761.6751
SC35,2023-12-19,5,761.6751
SC35,2023-12-19,6,761.6751
SC35,2023-12-19,7,761.6751
SC35,2023-12-19,8,761.6751
SC35,2023-12-19,9,761.6751
SC35,2023-12-19,10,761.6751
SC35,2023-12-19,11,761.6751
SC35,2023-12-19,12,761.6751
SC35,2023-12-19,13,761.6751
SC35,2023-12-19,14,761.6751
SC35,2023-12-19,15,761.6751
SC35,2023-12-19,16,761.6751
SC35,2023-12-19,17,761.6751
SC35,2023-12-19,18,761.6751
SC35,2023-12-19,19,761.6751
SC35,2023-12-19,20,761.6751
SC35,2023-12-19,21,761.6751
SC35,2023-12-19,22,761.6751
SC35,2023-12-19,23,761.6751
SC35,2023-12-20,0,761.6751
SC35,2023-12-20,1,761.6751
SC35,2023-12-20,2,761.6751
SC35,2023-12-20,3,761.6751
SC35,2023-12-20,4,761.6751
SC35,2023-12-20,5,761.6751
SC35,2023-12-20,6,761.6751
SC35,2023-12-20,7,761.6751
SC35,2023-12-20,8,761.6751
SC35,2023-12-20,9,761.6751
SC35,2023-12-20,10,761.6751
SC35,2023-12-20,11,761.6751
SC35,2023-12-20,12,761.6751
SC35,2023-12-20,13,761.6751
SC35,2023-12-20,14,761.6751
SC35,2023-12-20,15,761.6751
SC35,2023-12-20,16,761.6751
SC35,2023-12-20,17,761.6751
SC35,2023-12-20,18,761.6751
SC35,2023-12-20,19,761.6751
SC35,2023-12-20,20,761.6751
SC35,2023-12-20,21,761.6751
SC35,2023-12-20,22,761.6751
SC35,2023-12-20,23,761.6751
SC35,2023-12-21,0,761.6751
SC35,2023-12-21,1,761.6751
SC35,2023-12-21,2,761.6751
SC35,2023-12-21,3,761.6751
SC35,2023-12-21,4,761.6751
SC35,2023-12-21,5,761.6751
SC35,2023-12-21,6,761.6751
SC35,2023-12-21,7,761.6751
SC35,2023-12-21,8,761.6751
SC35,2023-12-21,9,761.6751
SC35,2023-12-21,10,761.6751
SC35,2023-12-21,11,761.6751
SC35,2023-12-21,12,761.6751
SC35,2023-12-21,13,761.6751
SC35,2023-12-21,14,761.6751
SC35,2023-12-21,15,761.6751
SC35,2023-12-21,16,761.6751
SC35,2023-12-21,17,761.6751
SC35,2023-12-21,18,761.6751
SC35,2023-12-21,19,761.6751
SC35,2023-12-21,20,761.6751
SC35,2023-12-21,21,761.6751
SC35,2023-12-21,22,761.6751
SC35,2023-12-21,23,761.6751
SC35,2023-12-22,0,761.6751
SC35,2023-12-22,1,761.6751
SC35,2023-12-22,2,761.6751
SC35,2023-12-22,3,761.6751
SC35,2023-12-22,4,761.6751
SC35,2023-12-22,5,761.6751
SC35,2023-12-22,6,761.6751
SC35,2023-12-22,7,761.6751
SC35,2023-12-22,8,761.6751
SC35,2023-12-22,9,761.6751
SC35,2023-12-22,10,761.6751
SC35,2023-12-22,11,761.6751
SC35,2023-12-22,12,761.6751
SC35,2023-12-22,13,761.6751
SC35,2023-12-22,14,761.6751
SC35,2023-12-22,15,761.6751
SC35,2023-12-22,16,761.6751
SC35,2023-12-22,17,761.6751
SC35,2023-12-22,18,761.6751
SC35,2023-12-22,19,761.6751
SC35,2023-12-22,20,761.6751
SC35,2023-12-22,21,761.6751
SC35,2023-12-22,22,761.6751
SC35,2023-12-22,23,761.6751
SC35,2023-12-23,0,761.6751
SC35,2023-12-23,1,761.6751
SC35,2023-12-23,2,761.6751
SC35,2023-12-23,3,761.6751
SC35,2023-12-23,4,761.6751
SC35,2023-12-23,5,761.6751
SC35,2023-12-23,6,761.6751
SC35,2023-12-23,7,761.6751
SC35,2023-12-23,8,761.6751
SC35,2023-12-23,9,761.6751
SC35,2023-12-23,10,761.6751
SC35,2023-12-23,11,761.6751
SC35,2023-12-23,12,761.6751
SC35,2023-12-23,13,761.6751
SC35,2023-12-23,14,761.6751
SC35,2023-12-23,15,761.6751
SC35,2023-12-23,16,761.6751
SC35,2023-12-23,17,761.6751
SC35,2023-12-23,18,761.6751
SC35,2023-12-23,19,761.6751
SC35,2023-12-23,20,761.6751
SC35,2023-12-23,21,761.6751
SC35,2023-12-23,22,761.6751
SC35,2023-12-23,23,761.6751
SC35,2023-12-24,0,761.6751
SC35,2023-12-24,1,761.6751
SC35,2023-12-24,2,761.6751
SC35,2023-12-24,3,761.6751
SC35,2023-12-24,4,761.6751
SC35,2023-12-24,5,761.6751
SC35,2023-12-24,6,761.6751
SC35,2023-12-24,7,761.6751
SC35,2023-12-24,8,761.6751
SC35,2023-12-24,9,761.6751
SC35,2023-12-24,10,761.6751
SC35,2023-12-24,11,761.6751
SC35,2023-12-24,12,761.6751
SC35,2023-12-24,13,761.6751
SC35,2023-12-24,14,761.6751
SC35,2023-12-24,15,761.6751
SC35,2023-12-24,16,761.6751
SC35,2023-12-24,17,761.6751
SC35,2023-12-24,18,761.6751
SC35,2023-12-24,19,761.6751
SC35,2023-12-24,20,761.6751
SC35,2023-12-24,21,761.6751
SC35,2023-12-24,22,761.6751
SC35,2023-12-24,23,761.6751
SC35,2023-12-25,0,761.6751
SC35,2023-12-25,1,761.6751
SC35,2023-12-25,2,761.6751
SC35,2023-12-25,3,761.6751
SC35,2023-12-25,4,761.6751
SC35,2023-12-25,5,761.6751
SC35,2023-12-25,6,761.6751
SC35,2023-12-25,7,761.6751
SC35,2023-12-25,8,761.6751
SC35,2023-12-25,9,761.6751
SC35,2023-12-25,10,761.6751
SC35,2023-12-25,11,761.6751
SC35,2023-12-25,12,761.6751
SC35,2023-12-25,13,761.6751
SC35,2023-12-25,14,761.6751
SC35,2023-12-25,15,761.6751
SC35,2023-12-25,16,761.6751
SC35,2023-12-25,17,761.6751
SC35,2023-12-25,18,761.6751
SC35,2023-12-25,19,761.6751
SC35,2023-12-25,20,761.6751
SC35,2023-12-25,21,761.6751
SC35,2023-12-25,22,761.6751
SC35,2023-12-25,23,761.6751
SC35,2023-12-26,0,761.6751
SC35,2023-12-26,1,761.6751
SC35,2023-12-26,2,761.6751
SC35,2023-12-26,3,761.6751
SC35,2023-12-26,4,761.6751
SC35,2023-12-26,5,761.6751
SC35,2023-12-26,6,761.6751
SC35,2023-12-26,7,761.6751
SC35,2023-12-26,8,761.6751
SC35,2023-12-26,9,761.6751
SC35,2023-12-26,10,761.6751
SC35,2023-12-26,11,761.6751
SC35,2023-12-26,12,761.6751
SC35,2023-12-26,13,761.6751
SC35,2023-12-26,14,761.6751
SC35,2023-12-26,15,761.6751
SC35,2023-12-26,16,761.6751
SC35,2023-12-26,17,761.6751
SC35,2023-12-26,18,761.6751
SC35,2023-12-26,19,761.6751
SC35,2023-12-26,20,761.6751
SC35,2023-12-26,21,761.6751
SC35,2023-12-26,22,761.6751
SC35,2023-12-26,23,761.6751
SC35,2023-12-27,0,761.6751
SC35,2023-12-27,1,761.6751
SC35,2023-12-27,2,761.6751
SC35,2023-12-27,3,761.6751
SC35,2023-12-27,4,761.6751
SC35,2023-12-27,5,761.6751
SC35,2023-12-27,6,761.6751
SC35,2023-12-27,7,761.6751
SC35,2023-12-27,8,761.6751
SC35,2023-12-27,9,761.6751
SC35,2023-12-27,10,761.6751
SC35,2023-12-27,11,761.6751
SC35,2023-12-27,12,761.6751
SC35,2023-12-27,13,761.6751
SC35,2023-12-27,14,761.6751
SC35,2023-12-27,15,761.6751
SC35,2023-12-27,16,761.6751
SC35,2023-12-27,17,761.6751
SC35,2023-12-27,18,761.6751
SC35,2023-12-27,19,761.6751
SC35,2023-12-27,20,761.6751
SC35,2023-12-27,21,761.6751
SC35,2023-12-27,22,761.6751
SC35,2023-12-27,23,761.6751
SC35,2023-12-28,0,761.6751
SC35,2023-12-28,1,761.6751
SC35,2023-12-28,2,761.6751
SC35,2023-12-28,3,761.6751
SC35,2023-12-28,4,761.6751
SC35,2023-12-28,5,761.6751
SC35,2023-12-28,6,761.6751
SC35,2023-12-28,7,761.6751
SC35,2023-12-28,8,761.6751
SC35,2023-12-28,9,761.6751
SC35,2023-12-28,10,761.6751
SC35,2023-12-28,11,761.6751
SC35,2023-12-28,12,761.6751
SC35,2023-12-28,13,761.6751
SC35,2023-12-28,14,761.6751
SC35,2023-12-28,15,761.6751
SC35,2023-12-28,16,761.6751
SC35,2023-12-28,17,761.6751
SC35,2023-12-28,18,761.6751
SC35,2023-12-28,19,761.6751
SC35,2023-12-28,20,761.6751
SC35,2023-12-28,21,761.6751
SC35,2023-12-28,22,761.6751
SC35,2023-12-28,23,761.6751
SC35,2023-12-29,0,761.6751
SC35,2023-12-29,1,761.6751
SC35,2023-12-29,2,761.6751
SC35,2023-12-29,3,761.6751
SC35,2023-12-29,4,761.6751
SC35,2023-12-29,5,761.6751
SC35,2023-12-29,6,761.6751
SC35,2023-12-29,7,761.6751
SC35,2023-12-29,8,761.6751
SC35,2023-12-29,9,761.6751
SC35,2023-12-29,10,761.6751
SC35,2023-12-29,11,761.6751
SC35,2023-12-29,12,761.6751
SC35,2023-12-29,13,761.6751
SC35,2023-12-29,14,761.6751
SC35,2023-12-29,15,761.6751
SC35,2023-12-29,16,761.6751
SC35,2023-12-29,17,761.6751
SC35,2023-12-29,18,761.6751
SC35,2023-12-29,19,761.6751
SC35,2023-12-29,20,761.6751
SC35,2023-12-29,21,761.6751
SC35,2023-12-29,22,761.6751
SC35,2023-12-29,23,761.6751
SC35,2023-12-30,0,761.6751
SC35,2023-12-30,1,761.6751
SC35,2023-12-30,2,761.6751
SC35,2023-12-30,3,761.6751
SC35,2023-12-30,4,761.6751
SC35,2023-12-30,5,761.6751
SC35,2023-12-30,6,761.6751
SC35,2023-12-30,7,761.6751
SC35,2023-12-30,8,761.6751
SC35,2023-12-30,9,761.6751
SC35,2023-12-30,10,761.6751
SC35,2023-12-30,11,761.6751
SC35,2023-12-30,12,761.6751
SC35,2023-12-30,13,761.6751
SC35,2023-12-30,14,761.6751
SC35,2023-12-30,15,761.6751
SC35,2023-12-30,16,761.6751
SC35,2023-12-30,17,761.6751
SC35,2023-12-30,18,761.6751
SC35,2023-12-30,19,761.6751
SC35,2023-12-30,20,761.6751
SC35,2023-12-30,21,761.6751
SC35,2023-12-30,22,761.6751
SC35,2023-12-30,23,761.6751
SC58,2023-12-01,0,50.917442
SC58,2023-12-01,1,48.404594
SC58,2023-12-01,2,51.023815
SC58,2023-12-01,3,56.425117
SC58,2023-12-01,4,55.4815
SC58,2023-12-01,5,54.70189
SC58,2023-12-01,6,54.57105
SC58,2023-12-01,7,54.75565
SC58,2023-12-01,8,54.80201
SC58,2023-12-01,9,54.779903
SC58,2023-12-01,10,54.764133
SC58,2023-12-01,11,54.76603
SC58,2023-12-01,12,54.76939
SC58,2023-12-01,13,54.76976
SC58,2023-12-01,14,54.76914
SC58,2023-12-01,15,54.76894
SC58,2023-12-01,16,54.769028
SC58,2023-12-01,17,54.76908
SC58,2023-12-01,18,54.769077
SC58,2023-12-01,19,54.769062
SC58,2023-12-01,20,54.769062
SC58,2023-12-01,21,54.769066
SC58,2023-12-01,22,54.769062
SC58,2023-12-01,23,54.769066
SC58,2023-12-02,0,54.769066
SC58,2023-12-02,1,54.769066
SC58,2023-12-02,2,54.769062
SC58,2023-12-02,3,54.769066
SC58,2023-12-02,4,54.769066
SC58,2023-12-02,5,54.769066
SC58,2023-12-02,6,54.769062
SC58,2023-12-02,7,54.769066
SC58,2023-12-02,8,54.769066
SC58,2023-12-02,9,54.769066
SC58,2023-12-02,10,54.769062
SC58,2023-12-02,11,54.769066
SC58,2023-12-02,12,54.769066
SC58,2023-12-02,13,54.769066
SC58,2023-12-02,14,54.769062
SC58,2023-12-02,15,54.769066
SC58,2023-12-02,16,54.769066
SC58,2023-12-02,17,54.769066
SC58,2023-12-02,18,54.769062
SC58,2023-12-02,19,54.769066
SC58,2023-12-02,20,54.769066
SC58,2023-12-02,21,54.769066
SC58,2023-12-02,22,54.769062
SC58,2023-12-02,23,54.769066
SC58,2023-12-03,0,54.769066
SC58,2023-12-03,1,54.769066
SC58,2023-12-03,2,54.769062
SC58,2023-12-03,3,54.769066
SC58,2023-12-03,4,54.769066
SC58,2023-12-03,5,54.769066
SC58,2023-12-03,6,54.769062
SC58,2023-12-03,7,54.769066
